task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
in_context,0,0.2508277167554605,isusqrge,0.272756462024033,0.120091507081048,130.0,0.0,7.917412954846521e-05,10.0,0.1011064623519062,0.0,20.0,8.0,255.0,-1.0
in_context,1,0.2611248453594971,hbt43g0u,0.264604861034279,0.1129646660841029,97.0,0.0,0.0001083323625032,10.0,0.1351582698334605,0.0,100.0,8.0,255.0,-1.0
in_context,2,0.2646328741512042,lg1vg9q5,0.2776435246759521,0.1459601604870902,181.0,0.0,1.2904721633073898e-05,20.0,0.2325748079967941,0.0,100.0,8.0,255.0,-1.0
in_context,3,0.2644115942017922,eqi5lxxz,0.2775075689319418,0.1118682040102315,232.0,0.2,0.0004276097878757,10.0,0.0133482983182945,0.0,100.0,4.0,255.0,-1.0
in_context,4,0.2466996794389306,fo6sa6lx,0.3181534147929058,0.1268241117604513,58.0,0.0,0.0002507518284371,10.0,0.0302023368339538,1.0,10.0,8.0,255.0,-1.0
few_shot,0,0.5430727782296925,f80vgd89,0.6899058014509017,0.3847747245618344,45.0,0.2,0.0001605191133358,20.0,0.0750195444362012,1.0,20.0,4.0,255.0,-1.0
few_shot,1,0.6370079850834742,w8zfaa7f,0.6434936157024143,0.3555973726160386,54.0,0.2,0.0004276097878757,10.0,0.0133482983182945,0.0,100.0,4.0,255.0,-1.0
few_shot,2,0.5821398510020718,j9w0gz2f,0.5778125824630946,0.3122628903856464,20.0,0.0,0.0004548624208721,10.0,0.2953847324956156,0.0,20.0,4.0,255.0,-1.0
few_shot,3,0.4423786397676642,wggdyjgj,0.4658623868866542,0.2930076348104125,163.0,0.2,1.5820851730418417e-05,5.0,0.0450196136386975,1.0,100.0,16.0,255.0,-1.0
few_shot,4,0.3931022905073634,cu90m3ib,0.3724559760126418,0.2625283935082652,33.0,0.0,1.2904721633073898e-05,20.0,0.2325748079967941,0.0,100.0,8.0,255.0,-1.0
