model_name,task_name,test_rmse_mean,test_rmse_std,test_rmse_n,test_crps_mean,test_crps_std,test_crps_n,test_rmse_se,test_crps_se
npboost,in_context,0.2869114504949567,0.019954385526923756,5,0.12892749228977748,0.018794081204325633,5,0.008923872497487896,0.008404968629504645
npboost,few_shot,0.5880354418177072,0.15743357641590788,5,0.34041295261545346,0.07078520062894827,5,0.07040643576137555,0.03165610408145784
anpboost,in_context,0.28213316629182233,0.02082171584537223,5,0.12354172988458478,0.01390512121334325,5,0.009311754407687362,0.006218559253681972
anpboost,few_shot,0.5499060725031414,0.1300857443017466,5,0.3216342031764394,0.04883907496966586,5,0.05817611343247226,0.021841498318076268
np,in_context,0.2940441298407005,0.017135088593935886,5,0.12059419146951969,0.006634786803249378,5,0.0076630445793043865,0.002967166861656826
np,few_shot,0.5774177906276637,0.14138922896814968,5,0.31603167479796496,0.07982770117626788,5,0.06323118545181303,0.03570003326353498
anp,in_context,0.29591899805716415,0.021549624864671938,5,0.1236724709264497,0.012782064628515492,5,0.009637285217405232,0.005716313080431247
anp,few_shot,0.5507194041713179,0.12163481500851749,5,0.29243114404385345,0.08153645768564718,5,0.05439674295793135,0.03646421240592845
gbm_group_cat,in_context,0.3021818926239762,0.012442415294136162,5,,,0,0.005564417280394299,
gbm_group_cat,few_shot,0.70607969038756,0.20339393733117395,5,,,0,0.09096053401676742,
gbm_no_group,in_context,0.3215478032305715,0.013998378118404266,5,,,0,0.006260265009499507,
gbm_no_group,few_shot,0.7547940861464353,0.25670339150029003,5,,,0,0.11480124668987804,
gplinear,in_context,0.4293913086200183,0.012000704795651067,5,0.1999603989395577,0.004457501733814984,5,0.005366878340196701,0.0019934553773266954
gplinear,few_shot,0.6459541797766477,0.19321677537269769,5,0.32482839519044526,0.08993325331578511,5,0.08640916882533185,0.040219373570360775
lme,in_context,0.5795882641231508,0.01303907849051357,5,0.32493268834590083,0.0040288331801598114,5,0.005831253173748737,0.001801748972168799
lme,few_shot,0.6644190099467824,0.06466090591977385,5,0.3950740454163714,0.04583665611804778,5,0.028917236224666576,0.020498775788247294
tabicl_taskwise,in_context,0.5469307555451629,0.0181968955129231,5,0.2757906231430219,0.008410749056702926,5,0.008137899069271391,0.003761401326495995
tabicl_taskwise,few_shot,0.6901389401983455,0.07152656201659024,5,0.3750943894060749,0.03476463777563282,5,0.03198765097319004,0.015547218655894413
tabicl_pooled,in_context,0.30942344546752903,0.014370879991616972,5,0.10803222504509535,0.003205674516689949,5,0.006426852911549431,0.0014336212266115019
tabicl_pooled,few_shot,0.3514838440409854,0.0633353942212995,5,0.15082279515764785,0.02329491442807109,5,0.028324449372114605,0.010417802438241518
