task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
in_context,0,0.2858434386129906,bffjhlx2,0.2892880904071215,,377.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,1,0.2741263781275991,b3n9alhe,0.2884984725684826,,499.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,2,0.3055287720677132,qq4jcxcs,0.3075154713842529,,498.0,0.0988058664639341,0.0,20.0,16.0,255.0,-1.0
in_context,3,0.2872443447013034,wlmzkuq2,0.3152198493264188,,389.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,4,0.2810361532515874,v39k5n2h,0.3103875794336053,,379.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
few_shot,0,0.6564740088960683,1v9mkac4,0.6731994194965775,,161.0,0.2482318741925865,1.0,20.0,4.0,500.0,-1.0
few_shot,1,0.9105558392941236,5zvpmrnv,0.8135667582775644,,17.0,0.4380606481501048,0.0,20.0,32.0,255.0,-1.0
few_shot,2,0.9774899897686375,5xv6y3no,0.9927347019532292,,16.0,0.6428191198097525,1.0,20.0,8.0,500.0,-1.0
few_shot,3,0.4615115352432304,rhnlsem6,0.4734120194136456,,60.0,0.0988058664639341,0.0,20.0,16.0,255.0,-1.0
few_shot,4,0.5185350998980462,m3b57zvd,0.5774855527967834,,101.0,0.2482318741925865,1.0,20.0,4.0,500.0,-1.0
