task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
in_context,0,0.3144415806073087,7rguui4d,0.3140072248726838,,499.0,0.0988058664639341,0.0,20.0,16.0,255.0,-1.0
in_context,1,0.2957907734299577,iu7djrx0,0.3029783603929591,,492.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,2,0.3215499938448975,6q9yysaw,0.3202703543061366,,364.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,3,0.2953221006230783,9stf9gkn,0.3368945953029816,,369.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,4,0.3033034353580779,f5vm0lmd,0.3335884812780966,,350.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
few_shot,0,0.7230322556462617,cmm2h6xs,0.7928522123024437,,278.0,0.1252065381499946,0.0,100.0,4.0,255.0,-1.0
few_shot,1,0.9150011369794376,6mcbw3fg,0.8885227685838405,,74.0,0.1252065381499946,0.0,100.0,4.0,255.0,-1.0
few_shot,2,1.060965903347192,xwo72ix3,1.0921973987837836,,165.0,0.0182856525100933,1.0,100.0,16.0,1000.0,-1.0
few_shot,3,0.4358231831931432,87z0zcg9,0.4804954953917812,,136.0,0.0988058664639341,0.0,20.0,16.0,255.0,-1.0
few_shot,4,0.4514519143980797,7x0eu6fe,0.5199025556703274,,300.0,0.0432480329052877,0.0,10.0,8.0,255.0,-1.0
