task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
in_context,0,0.2640231852182577,doz5uoi1,0.2992090295457412,0.1273397086135381,1202.0,0.0236548851737866,0.0001904767808428
in_context,1,0.2475341345172731,e9i06rca,0.2836595841357681,0.1190681956807021,1914.0,0.1556313501899701,0.0005495716186411
in_context,2,0.2748650309939821,gtt7mewi,0.273144737612935,0.1142854950829129,1132.0,0.0286706574818092,0.0007750644796341
in_context,3,0.2647280049531261,wbip2p38,0.2956571780667777,0.1145108789487236,1528.0,0.1097627007854649,0.0002693883019285
in_context,4,0.2475978179254618,fnnnfmuk,0.3185501198422804,0.1277666790217217,1117.0,0.1957236684465528,0.0003965675081771
few_shot,0,0.5151418941329614,6jgn2na9,0.7113115991611925,0.3895032468722268,396.0,0.0040436794880651,0.0004626362841475
few_shot,1,0.6949941700771423,27z1fey5,0.7098031652943347,0.3978153602749694,334.0,0.0529111224209254,0.0003535634629148
few_shot,2,0.6291495365457241,p8xtqksr,0.6023623302995551,0.3229117000804228,323.0,0.0040436794880651,0.0004626362841475
few_shot,3,0.4080725580937421,55a5nage,0.4590305360978757,0.2452583198889659,545.0,0.003757960087271,0.0001718980674331
few_shot,4,0.496713389907652,6upoqw2c,0.4045813222853606,0.22466974687324,419.0,0.0236548851737866,0.0001904767808428
