task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
in_context,0,0.2529731655146588,74o2b7cj,0.2851049634345734,0.1238152269266954,175.0,0.0,0.0002507518284371,10.0,0.0302023368339538,1.0,10.0,8.0,255.0,-1.0
in_context,1,0.2579024325372792,0e6v6aex,0.2774968227863573,0.1225528957882089,142.0,0.0,0.0002507518284371,10.0,0.0302023368339538,1.0,10.0,8.0,255.0,-1.0
in_context,2,0.2630507383396355,o81oz3gy,0.263748289290843,0.1619119599095364,212.0,0.0,3.1392574253118284e-05,5.0,0.1121865737283773,0.0,10.0,4.0,255.0,-1.0
in_context,3,0.2543367629954746,uvu2q39x,0.290444522946616,0.1145010145490246,140.0,0.2,0.0002563473332261,20.0,0.1427109105814198,1.0,1000.0,8.0,255.0,-1.0
in_context,4,0.242574391705714,t1r4lzk1,0.3177626540163937,0.1218563642754221,125.0,0.2,0.0004276097878757,10.0,0.0133482983182945,0.0,100.0,4.0,255.0,-1.0
few_shot,0,0.5372339073828932,9cau5h3f,0.7492988490771303,0.3985757266773897,38.0,0.2,0.0001605191133358,20.0,0.0750195444362012,1.0,20.0,4.0,255.0,-1.0
few_shot,1,0.7448311930493304,d0knq3yo,0.7295063263547849,0.4241260004978553,115.0,0.2,1.5820851730418417e-05,5.0,0.0450196136386975,1.0,100.0,16.0,255.0,-1.0
few_shot,2,0.6225673473744252,qoajr644,0.6030398815000249,0.3365548526539522,7.0,0.0,0.0004548624208721,10.0,0.2953847324956156,0.0,20.0,4.0,255.0,-1.0
few_shot,3,0.4128693404207414,drk8oyrr,0.4639320241361858,0.2639186018604343,30.0,0.0,0.0001083323625032,10.0,0.1351582698334605,0.0,100.0,8.0,255.0,-1.0
few_shot,4,0.4165971074861613,mtek2fit,0.3944001280204097,0.2788895813876358,26.0,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0
