fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
steps,1,in_context,0,0.6062686932721777,o786r8ha,0.6160654046412851,0.34758154296875,1530.0,0.0749080237694725,0.0007969454818643
steps,1,in_context,1,0.6049704833139522,bzpe25d8,0.6120775510492537,0.3457691080729166,2909.0,0.146398788362281,0.0001575132049977
steps,1,in_context,2,0.6103987868598015,k8c2dga8,0.6122752241197127,0.345634765625,1452.0,0.0517559963200033,0.0002113705944064
steps,1,in_context,3,0.6060040881350249,h76zgccg,0.6041856050929315,0.3407287434895833,2600.0,0.1939169255529117,0.0003550304858128
steps,1,in_context,4,0.6050539273069169,uui5w8g9,0.6109527991518952,0.34493134765625,1834.0,0.1878997883128378,0.000616104953938
steps,1,few_shot,0,0.6609307194547002,eaqqk85z,0.6725259938821327,0.3801541748046875,1369.0,0.0749080237694725,0.0007969454818643
steps,1,few_shot,1,0.6710420736756184,ygt5wwbn,0.6698567512646966,0.3781373596191406,1600.0,0.0623422152178821,0.0001096821720752
steps,1,few_shot,2,0.6558025886421182,1t0zke9m,0.689703490896883,0.3865526733398438,1271.0,0.0116167224336398,0.0005399484409787
steps,1,few_shot,3,0.6587840130499267,7o6usift,0.6654010259335097,0.3761189270019531,1599.0,0.1931264066149118,0.0004138040112561
steps,1,few_shot,4,0.6581759161904069,wocc360b,0.6673504331888555,0.3766472778320312,1961.0,0.1878997883128378,0.000616104953938
steps,2,in_context,0,0.9427364517383404,lncivzq5,0.949571173654993,0.5253040364583333,2012.0,0.146398788362281,0.0001575132049977
steps,2,in_context,1,0.94583126105683,msrymsx7,0.9563951945913548,0.5294110026041666,1865.0,0.1931264066149118,0.0004138040112561
steps,2,in_context,2,0.9417809942610342,2s34gkx9,0.9494609430797828,0.5259877604166666,2230.0,0.1939169255529117,0.0003550304858128
steps,2,in_context,3,0.9461195512534124,7m9nlt6w,0.9446890477654414,0.52180478515625,2394.0,0.146398788362281,0.0001575132049977
steps,2,in_context,4,0.9337344265874838,0kqvdgjc,0.9601897191419966,0.5310962239583333,1976.0,0.1368466053024314,7.591104805282687e-05
steps,2,few_shot,0,1.0876607065386426,0kpu63fz,1.1039634750872664,0.605896484375,1778.0,0.146398788362281,0.0001575132049977
steps,2,few_shot,1,1.0984017368117958,62p84bq6,1.0506413515845772,0.577912353515625,1763.0,0.1878997883128378,0.000616104953938
steps,2,few_shot,2,1.0637661212011038,tudv0qch,1.1278420345814535,0.6164549560546875,1284.0,0.0041168988591604,0.0008706020878304
steps,2,few_shot,3,1.0906795631945998,ph3m369w,1.0906485221457214,0.5998846435546875,1409.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,4,1.0760523386167402,6f21qkjq,1.0776539702373815,0.5890103759765625,1321.0,0.1878997883128378,0.000616104953938
