fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
steps,1,in_context,0,0.6061395117898678,jcznrdye,0.6088875922341753,0.3444787109375,95.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0
steps,1,in_context,1,0.6056551347724631,haw1gt75,0.6153396572614196,0.3477640299479166,170.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
steps,1,in_context,2,0.6058454411153327,tdthwk82,0.6067817939429828,0.3424859375,214.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
steps,1,in_context,3,0.605995745244344,i7ludkip,0.6031873380945937,0.3401478190104167,226.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
steps,1,in_context,4,0.6032705181447815,3szxl9ih,0.606575414452062,0.3426344401041666,207.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
steps,1,few_shot,0,0.6597183655950545,5xhf2ful,0.68100945271331,0.3838821105957031,87.0,0.0,0.0008692991511139,10.0,0.1569639638866114,0.0,1000.0,8.0,255.0,-1.0
steps,1,few_shot,1,0.6655706316929864,xnhs3qgn,0.6664396545932055,0.3764822387695312,165.0,0.2,3.6649592076212935e-05,20.0,0.9572167377160832,0.0,100.0,16.0,255.0,-1.0
steps,1,few_shot,2,0.6535332878713456,l91y4rn4,0.6806134320715215,0.3828380126953125,140.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,1,few_shot,3,0.6574870608825555,xnpwajyg,0.6557498141012191,0.3710094604492187,168.0,0.0,0.0001656260589333,5.0,0.655438234354628,0.0,20.0,4.0,255.0,-1.0
steps,1,few_shot,4,0.6619137995025698,rf5vzdb5,0.6641378292601533,0.374238525390625,177.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
steps,2,in_context,0,0.93004393936235,chwz1icw,0.9325637953579168,0.5165021484375,158.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,1,0.9383987998553032,rbmmhzf4,0.9520176595405948,0.5262814453125,121.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,2,0.9254886304358316,ix86a4s8,0.9328494618026508,0.5175471354166666,156.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,3,0.9354933731233522,ips5754s,0.9403647020281402,0.5182503255208334,160.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,4,0.926152646823632,r6tldlbh,0.9502960454986504,0.5251506184895833,164.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
steps,2,few_shot,0,1.0739090925526644,zc383oyw,1.0936992446798204,0.5993193359375,120.0,0.2,0.0001053621921034,10.0,0.2534741961949762,1.0,1000.0,16.0,255.0,-1.0
steps,2,few_shot,1,1.0814716598480476,60kfr1si,1.0378558346390496,0.57028173828125,131.0,0.2,0.0001053621921034,10.0,0.2534741961949762,1.0,1000.0,16.0,255.0,-1.0
steps,2,few_shot,2,1.0459530451877306,k4vpu86s,1.1020844663504412,0.60093701171875,185.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,few_shot,3,1.0711822541323726,4ku665st,1.06949347989184,0.5854818725585937,156.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,few_shot,4,1.0803346254583877,6w7bmjmh,1.079495066179706,0.59058740234375,176.0,0.2,0.0002091196066971,10.0,0.1284423092280945,0.0,100.0,4.0,255.0,-1.0
