model_name,fixed_effect_type,feature_dimension,task_name,test_rmse_mean,test_rmse_std,test_rmse_n,test_crps_mean,test_crps_std,test_crps_n,test_rmse_se,test_crps_se
npboost,steps,1,in_context,0.6099776913437589,0.0018763500013679432,5,0.34466117838541666,0.001600297707702848,5,0.0008391292305281088,0.0007156748917321314
npboost,steps,1,few_shot,0.6863655947872905,0.009088824669557214,5,0.3867990600585937,0.004381645797751263,5,0.004064645959341398,0.0019595315714196235
npboost,steps,2,in_context,0.9454147587657096,0.008874358219593032,5,0.5253763802083333,0.005516923230237455,5,0.003968733647138805,0.0024672430738917344
npboost,steps,2,few_shot,1.11355078371984,0.014761757368251001,5,0.6093283935546875,0.0064171648157005275,5,0.006601658588553527,0.002869843350145258
anpboost,steps,1,in_context,0.6081543591970467,0.004505952714942996,5,0.3435021875,0.0028352441096065866,5,0.0020151233148024542,0.0012679597123772383
anpboost,steps,1,few_shot,0.6695900365478819,0.010990012995575317,5,0.3776900695800781,0.00554177862186068,5,0.0049148832263425,0.0024783587429471165
anpboost,steps,2,in_context,0.9416183328455906,0.009272243947777195,5,0.5207463346354166,0.00459655360296047,5,0.004146673554238163,0.002055641263688238
anpboost,steps,2,few_shot,1.0765256183481715,0.025009042946430995,5,0.5893214721679687,0.012386833835339074,5,0.011184384016086266,0.005539560496362521
np,steps,1,in_context,0.6281526925180279,0.004986834805862365,5,0.3529652278645833,0.0027614274886883865,5,0.0022301803236940425,0.0012349479159287527
np,steps,1,few_shot,0.7000606009314627,0.010470827365469835,5,0.39343535156250004,0.004762198796847456,5,0.004682696353971117,0.002129720046423724
np,steps,2,in_context,0.9760639294102802,0.009978266884688853,5,0.5406332291666667,0.004865129018418614,5,0.004462416610359866,0.0021757518408981693
np,steps,2,few_shot,1.1446715775294454,0.018913124197472507,5,0.625547314453125,0.010371106988409906,5,0.008458206274488936,0.004638100045601535
anp,steps,1,in_context,0.6111113168110156,0.004324982245820958,5,0.34492910156249995,0.0025437192802021755,5,0.0019341908606270734,0.0011375858452417798
anp,steps,1,few_shot,0.6729675390332155,0.009730982041898055,5,0.37952208251953123,0.004230607962178066,5,0.004351827466702751,0.001891985397916403
anp,steps,2,in_context,0.9520612156467138,0.006167789887349169,5,0.52672076171875,0.0036432572228362794,5,0.0027583194918097023,0.001629314161955804
anp,steps,2,few_shot,1.09014987072728,0.028848024839510128,5,0.5978317626953125,0.014922107024510944,5,0.01290122891154942,0.006673369134866718
gbm_group_cat,steps,1,in_context,0.6193685307190001,0.0046826101926743975,5,,,0,0.002094126940590668,
gbm_group_cat,steps,1,few_shot,1.4724454372488747,0.07467784331054245,5,,,0,0.03339694681109017,
gbm_group_cat,steps,2,in_context,0.9720711346427133,0.016444202393614996,5,,,0,0.0073540708775775765,
gbm_group_cat,steps,2,few_shot,2.003571488367916,0.08557840429335416,5,,,0,0.03827182588117995,
gbm_no_group,steps,1,in_context,1.4845560983279609,0.00802202150875247,5,,,0,0.003587557082107189,
gbm_no_group,steps,1,few_shot,1.4689661580186377,0.07611155175995282,5,,,0,0.034038120721649655,
gbm_no_group,steps,2,in_context,2.0425159551234873,0.018696814933020636,5,,,0,0.008361469830593464,
gbm_no_group,steps,2,few_shot,1.9995708356913824,0.0828413132794729,5,,,0,0.03704776156765149,
gplinear,steps,1,in_context,0.7099966286551675,0.004742849785345635,5,0.393496161740724,0.002113447583269966,5,0.002121066905420625,0.0009451624926148581
