fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
steps,1,in_context,0,0.6086725466410429,bvux5z73,0.619511394766995,,235.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,1,in_context,1,0.6164448582727552,4lacv4vy,0.6202305457259111,,498.0,0.5421814280975649,0.0,20.0,4.0,1000.0,-1.0
steps,1,in_context,2,0.6143080986340127,re11imxk,0.623072901291792,,497.0,0.1254449923662644,0.0,20.0,32.0,255.0,-1.0
steps,1,in_context,3,0.6144796720507403,2pbme7vt,0.6114401730675795,,500.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,1,in_context,4,0.6212306853248736,hf9ctdnm,0.6225876387427228,,469.0,0.1254449923662644,0.0,20.0,32.0,255.0,-1.0
steps,1,few_shot,0,1.5828085912005974,efr04ekh,1.4079467432360608,,63.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
steps,1,few_shot,1,1.4461482559040395,w99d7n0a,1.44730900459446,,38.0,0.53236175947515,0.0,1000.0,4.0,500.0,-1.0
steps,1,few_shot,2,1.4252879021028977,w7lmeeam,1.5762674533871923,,53.0,0.53236175947515,0.0,1000.0,4.0,500.0,-1.0
steps,1,few_shot,3,1.4846347420509307,0nqwmc75,1.4077518432138287,,170.0,0.0160785817337106,0.0,100.0,64.0,500.0,-1.0
steps,1,few_shot,4,1.4436384604766457,06ke7hus,1.5229521418128311,,82.0,0.0339160084943861,1.0,20.0,32.0,500.0,-1.0
steps,2,in_context,0,0.9548979704441024,rw8dwzzk,0.9636814059470552,,492.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,1,0.9632522302167714,jq20kdpp,0.97180733265374,,500.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,2,0.9497177385295976,0n4rmzf2,0.9627746792095164,,499.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,3,0.968819804908982,np7xpvty,0.9615055936002266,,496.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,4,0.9776797419353968,rwvwph1w,1.0005866618030284,,500.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,few_shot,0,2.1668333968501408,d92992r8,1.9264362971539344,,57.0,0.0385852699847799,1.0,20.0,32.0,1000.0,-1.0
steps,2,few_shot,1,2.009954815371553,ptxuy7eo,1.9659889519859777,,197.0,0.0134928342680132,1.0,10.0,32.0,255.0,-1.0
steps,2,few_shot,2,1.9600085488294967,o0mzsd2m,2.1177961575426862,,9.0,0.2076764556616242,0.0,1000.0,64.0,500.0,-1.0
steps,2,few_shot,3,2.0465739060778176,rs0h2kml,1.9371660417650127,,18.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,2,few_shot,4,2.017156703136056,gcnhaomg,2.0704699933919684,,7.0,0.2952174928235017,0.0,1000.0,32.0,1000.0,-1.0
