fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
steps,1,in_context,0,1.4809571545323348,zqr2hypq,1.4864087803138553,,222.0,0.2409214543666476,1.0,1000.0,2.0,1000.0,-1.0
steps,1,in_context,1,1.4608589326528745,uau8i9g6,1.4739929450414702,,61.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
steps,1,in_context,2,1.465403699260024,uauuprae,1.4911479871208353,,4.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,1,in_context,3,1.493259386199108,wi7dj62w,1.492568859387399,,37.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
steps,1,in_context,4,1.472846727770057,suw4zfis,1.4786619197762438,,191.0,0.2409214543666476,1.0,1000.0,2.0,1000.0,-1.0
steps,1,few_shot,0,1.5823416461795894,0xoqiu0v,1.4048841016935687,,4.0,0.7452629792912638,0.0,100.0,4.0,1000.0,-1.0
steps,1,few_shot,1,1.447514230272683,0d3d3s1d,1.445211678360505,,31.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
steps,1,few_shot,2,1.4267721065119885,1hjsx1c1,1.5748889673248556,,8.0,0.7452629792912638,0.0,100.0,4.0,1000.0,-1.0
steps,1,few_shot,3,1.4856618739880207,408dffgk,1.4002661281012996,,22.0,0.181466839845264,0.0,100.0,4.0,500.0,-1.0
steps,1,few_shot,4,1.472672785946014,42i6qtrl,1.5195799146129605,,205.0,0.2409214543666476,1.0,1000.0,2.0,1000.0,-1.0
steps,2,in_context,0,2.0355082600543466,e6s6awjo,2.059284115478933,,113.0,0.040596116104843,0.0,20.0,8.0,500.0,-1.0
steps,2,in_context,1,2.032153871961856,cbnteai2,2.0554275224256693,,21.0,0.1723598576082492,0.0,100.0,8.0,500.0,-1.0
steps,2,in_context,2,2.0208205866234463,plx1bqhg,2.030234905790944,,32.0,0.1723598576082492,0.0,100.0,8.0,500.0,-1.0
steps,2,in_context,3,2.0701285552418778,y5480sc8,2.051819707448458,,15.0,0.1723598576082492,0.0,100.0,8.0,500.0,-1.0
steps,2,in_context,4,2.043360309470485,yhrsw1qj,2.015813524473432,,11.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,few_shot,0,2.1655015729615523,8dd67f8v,1.921692341489624,,3.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,2,few_shot,1,2.0133681617955324,g62tnlo9,1.9632479448685207,,5.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,2,few_shot,2,1.9595661002284528,366ld4lm,2.1049698601603684,,2.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,2,few_shot,3,2.048899544357388,rso9uobz,1.9371939306720056,,345.0,0.010325337616482,0.0,1000.0,32.0,500.0,-1.0
steps,2,few_shot,4,2.0462571850379763,r7lhghf9,2.070750101266394,,3.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
