fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,1,in_context,0,0.6954092936430475,k4vgb7dq,0.7033201128448625,0.390689399921033
steps,1,in_context,1,0.6985631942575239,mfav7vj4,0.7108923908382024,0.3944266382767184
steps,1,in_context,2,0.7175214341544268,its6mvk8,0.7121112806551108,0.3946422982214324
steps,1,in_context,3,0.7050936623688634,iu0h58t7,0.7159167529597166,0.3958032398475112
steps,1,in_context,4,0.7047688277554275,ds1ymyr5,0.7077426059779458,0.391919232436925
steps,1,few_shot,0,0.8792771462371085,cwl8g1lm,0.852300514342361,0.4682941489260558
steps,1,few_shot,1,0.865856711307378,5weaiv2r,0.8696305640019816,0.4725933285091646
steps,1,few_shot,2,0.8692247462697076,m2qu2rp6,0.8953384120955049,0.4840785278498448
steps,1,few_shot,3,0.896227769985574,rec2bxdw,0.8919131248020671,0.4852428836843711
steps,1,few_shot,4,0.8718942809496439,evzgb6n6,0.8587152094541947,0.4699318347431741
steps,2,in_context,0,1.0835793381458043,0j1gydqg,1.0735069753892983,0.596733023486535
steps,2,in_context,1,1.0755004482154626,bplpo4ly,1.0866201281029273,0.6046081052558695
steps,2,in_context,2,1.065527598733099,pf1swhqr,1.0643272501556986,0.5926832753751895
steps,2,in_context,3,1.075909444491384,8wkul8m1,1.0696005415908147,0.5932346044482514
steps,2,in_context,4,1.0605846902474731,5ef8v7lq,1.0888757879284168,0.6039897621982315
steps,2,few_shot,0,1.3169637310383546,1yotf2ba,1.2853699237868692,0.7121093932108845
steps,2,few_shot,1,1.303341021729236,jzzk51yi,1.3199610462544276,0.7258181421908596
steps,2,few_shot,2,1.2876736233509378,xdnrq612,1.3221838936902552,0.726109765391673
steps,2,few_shot,3,1.3192623939932289,c271xwc4,1.3031385652060723,0.7151530160365194
steps,2,few_shot,4,1.3033423218519191,wg8vw2u7,1.285452426304553,0.7096707648220798
