fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
steps,1,in_context,0,0.6226896580410368,wplo3zv4,0.6313791172526,0.3543556966145833,2019.0,0.0912139968434072,0.0003718364180573
steps,1,in_context,1,0.625589870761915,n13d4bwq,0.634159400234889,0.3569180989583333,1907.0,0.0749080237694725,0.0007969454818643
steps,1,in_context,2,0.6291045429138781,hyfzienr,0.6290735220574997,0.3526112630208333,2261.0,0.1202230023486417,0.000260702475837
steps,1,in_context,3,0.6206428827708181,uygdusws,0.6225351875809016,0.3500397786458333,2581.0,0.1931264066149118,0.0004138040112561
steps,1,in_context,4,0.6239334206827416,s8y7sl00,0.6236162354642489,0.3509013020833333,2240.0,0.1878997883128378,0.000616104953938
steps,1,few_shot,0,0.6846921146350683,du77ck6g,0.7033987395771523,0.3957861938476562,1920.0,0.1931264066149118,0.0004138040112561
steps,1,few_shot,1,0.6877778717665828,nj9q7vrq,0.686123869840861,0.3863223876953125,1791.0,0.1939169255529117,0.0003550304858128
steps,1,few_shot,2,0.6749473954148117,obv48zky,0.7140847024998757,0.3989386596679688,2120.0,0.0912139968434072,0.0003718364180573
steps,1,few_shot,3,0.6823606437713395,szx6ldfh,0.6944341027282903,0.3916448364257813,2239.0,0.1939169255529117,0.0003550304858128
steps,1,few_shot,4,0.6884041537719564,48p7dda0,0.7022615900111344,0.3944846801757812,1756.0,0.119579995762217,0.0006978281265126
steps,2,in_context,0,0.963952059469404,572p7ccv,0.961344495723268,0.5324361979166666,2760.0,0.1202230023486417,0.000260702475837
steps,2,in_context,1,0.9609073150245926,hv3m4gte,0.9859133393322695,0.5453974934895833,3855.0,0.146398788362281,0.0001575132049977
steps,2,in_context,2,0.9625930072257808,fjk01h2e,0.9708800595403372,0.54115537109375,3196.0,0.0399347564316719,0.0001067748270948
steps,2,in_context,3,0.9689559637938676,vf3zoj58,0.9791964448130016,0.541714453125,2684.0,0.0517559963200033,0.0002113705944064
steps,2,in_context,4,0.951056940012661,zrjmbvmw,0.982985307642525,0.5424626302083333,3010.0,0.1878997883128378,0.000616104953938
steps,2,few_shot,0,1.1555162179920806,81cmhyl8,1.1489494177918311,0.6327807006835937,1491.0,0.0749080237694725,0.0007969454818643
steps,2,few_shot,1,1.1494176286913864,53nux3xx,1.120295949170764,0.6109493408203125,1015.0,0.1931264066149118,0.0004138040112561
steps,2,few_shot,2,1.1016270412282403,3o3pfdf0,1.159874932917333,0.6293548583984375,1610.0,0.1931264066149118,0.0004138040112561
steps,2,few_shot,3,1.136884508425962,9tcxsbj0,1.1640780707200309,0.6358109130859375,1122.0,0.0749080237694725,0.0007969454818643
steps,2,few_shot,4,1.144165910333342,nl6vpbgf,1.1301595170472674,0.6188407592773437,1436.0,0.1878997883128378,0.000616104953938
