fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
steps,1,in_context,0,0.601877476957714,x0h76u8k,0.6079257637582554,0.3434949869791667,138.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,1,in_context,1,0.600315426227947,e2kfi5yq,0.6127107043711969,0.3473309244791667,217.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0
steps,1,in_context,2,0.6042234720633988,5t984j8q,0.6096701203542215,0.3440485026041666,145.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,1,in_context,3,0.6093968533172285,0nojx2l6,0.6087329563650632,0.3435142903645833,152.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,1,in_context,4,0.6090562480286991,65erv0lg,0.6108489118700576,0.3449171875,127.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,1,few_shot,0,0.6742790832651714,5xsi6eqp,0.6930901587576198,0.3914417114257812,191.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
steps,1,few_shot,1,0.6779728425421446,8xx2ycyn,0.6766227831880208,0.3820324096679687,133.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,1,few_shot,2,0.6721610569407869,serki5wk,0.6978930719048245,0.3911759033203125,159.0,0.0,1.5905817778820346e-05,20.0,0.0138796110793157,1.0,20.0,16.0,255.0,-1.0
steps,1,few_shot,3,0.6736278492518661,1q2orima,0.6788553253388023,0.3832029418945313,102.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,1,few_shot,4,0.6721742609341296,dm18pfws,0.6853666347471852,0.386142333984375,130.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,0,0.9348876336969992,9tufsegh,0.941326172114868,0.5235113932291666,123.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,in_context,1,0.9400035847737036,u8fbqog1,0.9611064697856524,0.53431953125,332.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,in_context,2,0.932162384570784,a3mesvmd,0.9411351157527286,0.52572578125,158.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,in_context,3,0.9382203703626136,unp2ozgu,0.9398904169764986,0.5193624674479167,253.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,4,0.93105128222552,2c30xv47,0.9436156191988004,0.5239627278645833,195.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,few_shot,0,1.1285920767722524,p3e5dc36,1.105907748789539,0.60702099609375,123.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,few_shot,1,1.115665451210871,3tlydh8l,1.0982412507779795,0.60118994140625,97.0,0.2,0.0001053621921034,10.0,0.2534741961949762,1.0,1000.0,16.0,255.0,-1.0
steps,2,few_shot,2,1.0759809830645692,q2uwrqad,1.1360406732955106,0.617876708984375,170.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,few_shot,3,1.113279759609838,0jyrj2w6,1.107743167170953,0.6072532958984375,124.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,few_shot,4,1.132353615714385,vnspi3hc,1.1198210785652178,0.613301025390625,108.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
