name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,fixed_effect_type,feature_dimension,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,epochs_trained,model.params.dropout,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
npboost-in_context-steps_1D-seed0,15j7lyl4,2026-07-21T17:34:54Z,npboost,in_context,0,rmse,0.34179716796875,0.605545864572223,0.3444068359375,0.6094364035119294,9988.95439171791,6.172133922576904,6.307708978652954,1.6340268393226076,steps,1,230.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,3vkv7a6z,2026-07-23T07:22:39Z,npboost,in_context,0,rmse,0.35003310546875,0.6210792144271507,0.3524009114583333,0.6245475328253746,5787.643719434738,5.609072685241699,4.844885349273682,1.7779624452730232,steps,1,128.0,0.0,3.7275559646016336e-05,20.0,0.0105756957788887,0.0,100.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,4hnrhv39,2026-07-21T12:43:04Z,npboost,in_context,0,rmse,0.3481154947916666,0.6155511898574512,0.3506682942708333,0.6197737215245144,4163.177025079727,7.413397312164307,6.155582666397095,1.6987900353152818,steps,1,145.0,0.0,0.0008692991511139,10.0,0.1569639638866114,0.0,1000.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,6blo0hwn,2026-07-23T06:12:52Z,npboost,in_context,0,rmse,0.352493359375,0.6262151513173296,0.3536350911458333,0.6269973045203944,4075.234478712082,6.397638320922852,6.678897857666016,1.7908376814260534,steps,1,81.0,0.0,0.0003583387974072,20.0,0.0166876416291958,0.0,10.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,6w2uufrr,2026-07-22T05:53:33Z,npboost,in_context,0,rmse,0.3472009765625,0.6118295187484809,0.35107265625,0.6184264715922331,3992.915162563324,5.382364988327026,6.564545154571533,1.7294412856787726,steps,1,143.0,0.0,0.0008831228248242,10.0,0.3887072196612053,1.0,100.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,70ns3ozz,2026-07-23T00:43:14Z,npboost,in_context,0,rmse,0.3564798828125,0.6322167868062707,0.361461328125,0.6398123982389056,4794.282610177994,6.230605363845825,5.883953332901001,1.830605261090412,steps,1,104.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,7cxnfqlg,2026-07-22T04:47:49Z,npboost,in_context,0,rmse,0.3567707682291666,0.6323273144677685,0.3619930013020833,0.6404935338580837,3892.683761835098,6.747991323471069,6.1847803592681885,1.89286634279925,steps,1,200.0,0.2,0.0001251605833757,5.0,0.2656797431288616,1.0,100.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,8l60zr89,2026-07-22T01:37:02Z,npboost,in_context,0,rmse,0.3452736979166667,0.6108395927368346,0.3481342447916666,0.6147915234218861,3795.765860080719,5.876154184341431,5.543914556503296,1.7000669366712975,steps,1,129.0,0.0,0.0007472397689332,10.0,0.7069476197217992,0.0,20.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,adqvnzvj,2026-07-21T13:53:24Z,npboost,in_context,0,rmse,0.3582836588541667,0.6350932581893807,0.3639751302083334,0.6440723856325428,6911.888798952103,6.379113674163818,6.087883710861206,2.0487470537433734,steps,1,154.0,0.2,1.913588048769229e-05,20.0,0.3503398491158687,0.0,10.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,airzj37i,2026-07-22T17:41:56Z,npboost,in_context,0,rmse,0.353244921875,0.6255934252155949,0.3557033203125,0.6290581306717338,5618.3432857990265,6.789650917053223,7.476103067398071,1.9128532355404653,steps,1,179.0,0.2,0.0002091196066971,10.0,0.1284423092280945,0.0,100.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,boi9pi0b,2026-07-22T07:00:56Z,npboost,in_context,0,rmse,0.3485295572916667,0.6174447213605723,0.35037734375,0.619063536363893,8857.808526277542,7.650691032409668,7.883960247039795,1.9047955341449825,steps,1,200.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,dj5e2q90,2026-07-22T16:15:30Z,npboost,in_context,0,rmse,0.356409375,0.6315573115163636,0.3617593098958333,0.6398415208966071,5129.337597370148,7.388930320739746,7.182272911071777,1.9135815258944,steps,1,159.0,0.2,0.0001077955162095,10.0,0.0754992854618303,0.0,10.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,e7j0etnt,2026-07-21T20:22:15Z,npboost,in_context,0,rmse,0.34697705078125,0.6153624433948947,0.3513916666666666,0.6217757288186625,3763.3161273002634,6.858526945114136,6.534938812255859,1.5597574768650098,steps,1,187.0,0.0,0.0001848449172098,5.0,0.6097025297491431,1.0,10.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,ek7plduv,2026-07-21T21:26:15Z,npboost,in_context,0,rmse,0.3589953125,0.6362780312500479,0.36381015625,0.6435284388229978,3781.0444009304047,7.087593078613281,6.663506031036377,2.523949970259547,steps,1,71.0,0.2,6.83631406502272e-05,20.0,0.768810680147495,1.0,100.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,grzlt8wj,2026-07-21T08:31:52Z,npboost,in_context,0,rmse,0.3601024088541666,0.6394535300393519,0.36528349609375,0.6481850215980224,3753.816685438156,5.106868028640747,6.438666582107544,1.7817048302913978,steps,1,189.0,0.2,0.0002910635913133,5.0,0.0130667392380532,0.0,100.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,hngleqni,2026-07-23T02:04:28Z,npboost,in_context,0,rmse,0.3517746744791666,0.6234254734976801,0.354776171875,0.6280243094938109,5883.076865196228,6.38641881942749,5.415292978286743,1.8063220977081669,steps,1,227.0,0.2,0.0002213282815989,10.0,0.0152199142675109,0.0,100.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,hzask1jc,2026-07-21T22:30:11Z,npboost,in_context,0,rmse,0.350135546875,0.6208558743627693,0.3529580403645833,0.625162650061786,3555.2635185718536,7.756242990493774,5.95311975479126,1.5694195287863422,steps,1,157.0,0.0,0.0001656260589333,5.0,0.655438234354628,0.0,20.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,ku59xur2,2026-07-22T22:02:14Z,npboost,in_context,0,rmse,0.3470484700520833,0.6147547741347755,0.3511475260416666,0.6211857919661633,6928.609750509262,5.091342687606812,5.070239305496216,1.7441312302859864,steps,1,138.0,0.0,1.5905817778820346e-05,20.0,0.0138796110793157,1.0,20.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,lk74psj1,2026-07-23T11:49:16Z,npboost,in_context,0,rmse,0.35459755859375,0.6306185246508906,0.3586669921875,0.6363890847252979,4067.858281612396,4.875208616256714,5.273186445236206,1.7572385324598032,steps,1,229.0,0.0,0.0008887704677237,5.0,0.0415963508411869,0.0,1000.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,mi52zl90,2026-07-22T02:41:09Z,npboost,in_context,0,rmse,0.3418642578125,0.6058956354555542,0.3450820638020833,0.610171395466484,7548.890702962875,6.538171052932739,6.186276197433472,1.5778394938086586,steps,1,178.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,mihzxh8e,2026-07-22T12:28:02Z,npboost,in_context,0,rmse,0.35736708984375,0.6332245411672006,0.36210390625,0.6405381278280087,13591.801484584808,7.6024158000946045,6.303562641143799,1.6903968597569434,steps,1,455.0,0.2,1.1508017135300922e-05,10.0,0.0179523383684912,1.0,20.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,ns8sphjd,2026-07-22T09:30:05Z,npboost,in_context,0,rmse,0.3492786458333333,0.6186173349608739,0.3521332682291667,0.623207248472769,4608.510417222977,8.037757635116577,8.751617908477783,1.786936881452244,steps,1,75.0,0.0,0.0001380773171791,20.0,0.0190619809185539,1.0,10.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,o0tqu0f3,2026-07-23T08:59:56Z,npboost,in_context,0,rmse,0.3495314453125,0.6198265691885865,0.3540447265625,0.6273384595200573,10108.2825756073,6.316987991333008,5.856939315795898,1.811984597254625,steps,1,262.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,prt5zpym,2026-07-22T19:16:32Z,npboost,in_context,0,rmse,0.3494027018229166,0.6188349218828236,0.3541334309895833,0.6263255204732472,3625.092425584793,7.276910066604614,7.2185564041137695,1.7602988473614944,steps,1,102.0,0.0,8.878664758716842e-05,10.0,0.0222025951448105,0.0,20.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,qc43p81x,2026-07-23T03:43:21Z,npboost,in_context,0,rmse,0.3415196940104166,0.6052943125023388,0.3442978515625,0.6093733274276704,8919.785711288452,6.164669752120972,6.638793230056763,1.5414721376136655,steps,1,214.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,qcnxkppe,2026-07-21T23:30:22Z,npboost,in_context,0,rmse,0.3499627604166667,0.6205100852208125,0.35210693359375,0.6231339996981731,7546.293827056885,6.802980422973633,7.025407314300537,1.832267914999637,steps,1,158.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,tbyug0si,2026-07-22T20:17:57Z,npboost,in_context,0,rmse,0.3490849609375,0.6183564996410367,0.3537653971354166,0.6258532824415874,6143.869953155518,7.830180168151856,8.206559896469116,1.713152294749051,steps,1,292.0,0.0,1.3840044764106206e-05,5.0,0.7593823221110972,0.0,1000.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,uu1ir1s6,2026-07-23T00:01:23Z,npboost,in_context,0,rmse,0.3682855143229167,0.6527099789530849,0.3754445638020833,0.6641729000557706,2460.5213413238525,6.166891098022461,6.087209939956665,2.136124042532307,steps,1,41.0,0.2,3.6649592076212935e-05,20.0,0.9572167377160832,0.0,100.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,x0h76u8k,2026-07-21T15:49:28Z,npboost,in_context,0,rmse,0.3394505533854167,0.601877476957714,0.3434949869791667,0.6079257637582554,6272.914225101471,5.944133520126343,6.822573661804199,1.581853905964498,steps,1,138.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,xi80jk61,2026-07-21T09:35:16Z,npboost,in_context,0,rmse,0.3559435546875,0.6304981184003832,0.35896005859375,0.6349740256954807,6155.789005994797,5.7253501415252686,6.121953248977661,1.854784913581864,steps,1,229.0,0.2,7.309539835912905e-05,10.0,0.0383962929980417,1.0,10.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,z48obvvq,2026-07-21T11:18:59Z,npboost,in_context,0,rmse,0.3499246744791666,0.6201190386577377,0.3541078776041667,0.6265330125496809,4993.39249587059,6.869090557098389,5.670634508132935,1.6655647486536378,steps,1,270.0,0.2,0.0008536189862866,5.0,0.2335963502626159,0.0,100.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed0,zghf4x63,2026-07-22T10:48:06Z,npboost,in_context,0,rmse,0.3537012369791666,0.6269802689882187,0.3575005859375,0.6325089754094828,5913.006447553635,7.66600227355957,8.58256459236145,2.389391737927803,steps,1,177.0,0.2,0.0001053621921034,10.0,0.2534741961949762,1.0,1000.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-steps_1D-seed1,0x4xvh5w,2026-07-26T06:15:19Z,npboost,in_context,1,rmse,0.3559597330729167,0.6314720836764175,0.3609148111979167,0.6397895027786049,2627.3704891204834,3.7342653274536137,4.4885804653167725,1.704363452054004,steps,1,195.0,0.0,0.0008887704677237,5.0,0.0415963508411869,0.0,1000.0,4.0,255.0,-1.0,,,,,,,,
