fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,1,in_context,0,1.4041629868786596,d2tenmhx,1.4027875298994148,0.7497701926106611
steps,1,in_context,1,1.444608536053516,7c45gt8i,1.4583337534816168,0.7934355785311872
steps,1,in_context,2,1.4056711221477738,dtr1d71d,1.4328261883981408,0.765349378092183
steps,1,in_context,3,1.441041086243357,55pmrmxd,1.4493867176966246,0.7867641692017394
steps,1,in_context,4,1.4313087824929451,wbnn3uvh,1.431620243846052,0.7695803725289361
steps,1,few_shot,0,1.644411229739388,bvk2sasw,1.4910682877747146,0.8139455032808726
steps,1,few_shot,1,1.459287434166344,qrtufvoj,1.5268281908150436,0.8385005601951846
steps,1,few_shot,2,1.4463215591130605,u3jc8or9,1.566387985643899,0.8545637392989679
steps,1,few_shot,3,1.5590186523667935,xsde3v3f,1.501485919156405,0.826714555921586
steps,1,few_shot,4,1.5417246796355244,j3tioix3,1.5886536245125435,0.8657965829804871
steps,2,in_context,0,2.0104667015855355,q6ck1xb1,2.0357405178803827,1.0391632701144662
steps,2,in_context,1,2.025978490835517,o3p2vn6a,2.047817234668009,1.0464847119691307
steps,2,in_context,2,1.98234830583692,tx6fnseg,1.9937054774719711,1.028454050103746
steps,2,in_context,3,2.0540437058298022,0kedq29x,2.0322838115748048,1.0442336483166823
steps,2,in_context,4,2.017487816114912,ovilsga4,1.990744539321648,1.0237430512146133
steps,2,few_shot,0,2.2242987746945464,z61fxaoc,1.991546133450163,1.026418951379266
steps,2,few_shot,1,2.017196587928673,87wh1p84,1.9994485381822795,1.0313859669337715
steps,2,few_shot,2,1.9838006905239391,c166cngv,2.11374605472042,1.0941035808535404
steps,2,few_shot,3,2.1464281986936493,sqj3j3ui,1.989031899596445,1.0205843945374216
steps,2,few_shot,4,2.1415394999919624,gwndek5r,2.110184344410748,1.0907655629987345
