fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,1,in_context,0,0.708697302421135,hv3fax0g,0.7155560995296374,0.4009817258798471
steps,1,in_context,1,0.7154475952245495,nrnxm8p0,0.7289953164066345,0.4069125299729301
steps,1,in_context,2,0.7253089725803733,hj14bi7k,0.7243279404056555,0.4041500518733944
steps,1,in_context,3,0.7118825334470259,t0yq0tis,0.7273311435460984,0.4030638017855841
steps,1,in_context,4,0.7200147836100975,j3o15942,0.7257671117729645,0.4061148057361597
steps,1,few_shot,0,0.9100447803778436,zosi8hcz,0.9061298227176212,0.5134984310413963
steps,1,few_shot,1,0.9133084226461522,94i6o77i,0.8909805599226535,0.5021059150240311
steps,1,few_shot,2,0.9289726719709748,ucxzi2oe,0.9242841794815442,0.5208459639219609
steps,1,few_shot,3,0.9259993529722146,ogh5mgch,0.925170178930448,0.5218204834706667
steps,1,few_shot,4,0.9384124730816308,oi4udvz5,0.90793611551208,0.5093639571612538
steps,2,in_context,0,1.155453101588101,l7wixq58,1.1477493892368256,0.6449882523022323
steps,2,in_context,1,1.1334544665807156,gl0rzhzs,1.149400410582555,0.6487998945779441
steps,2,in_context,2,1.142654761769875,ko2kxwhs,1.140296183296896,0.6443562305290144
steps,2,in_context,3,1.136419361626595,njbdnilg,1.136863125666182,0.639222505728191
steps,2,in_context,4,1.119025633899483,sqjq665x,1.1561219723886071,0.6505941849999137
steps,2,few_shot,0,1.4713607405340912,zfsm6vuc,1.4376769899866395,0.8150262246805426
steps,2,few_shot,1,1.4634725238747022,ifzr0vb7,1.481377870922313,0.8343541428387966
steps,2,few_shot,2,1.4721353769340078,8t9lvuvc,1.4763951335244796,0.8318156188495245
steps,2,few_shot,3,1.4599223724595924,rztgsjfz,1.489111509273075,0.8367924101713088
steps,2,few_shot,4,1.4709026668970615,92uh1b8j,1.4411203584874128,0.8144335338568899
