fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
steps,1,in_context,0,0.6070238042129938,rrtl95l7,0.5975891746775218,0.2971828776041667,1110.0,0.119579995762217,0.0006978281265126
steps,1,in_context,1,0.5802343772914577,c9rheh6t,0.589473923921384,0.2906014322916667,2304.0,0.146398788362281,0.0001575132049977
steps,1,in_context,2,0.5835246947629886,n9bw28ld,0.5975582999604142,0.2894573567708333,2236.0,0.146398788362281,0.0001575132049977
steps,1,in_context,3,0.5924254127736311,cz7y33pw,0.5895917007419884,0.2906261067708333,1952.0,0.146398788362281,0.0001575132049977
steps,1,in_context,4,0.6267610207425549,mip3cubx,0.6100462014635287,0.2891887369791667,1685.0,0.1878997883128378,0.000616104953938
steps,1,few_shot,0,0.6399150979555651,faljmfgn,0.6381282746592863,0.3346622314453125,1617.0,0.1878997883128378,0.000616104953938
steps,1,few_shot,1,0.6217126324117692,4o135c5k,0.6388026831678305,0.3263991088867187,2195.0,0.1931264066149118,0.0004138040112561
steps,1,few_shot,2,0.6174850439797563,fuspy8qm,0.6586947580305597,0.3343568115234375,1420.0,0.0749080237694725,0.0007969454818643
steps,1,few_shot,3,0.6900140647935523,b9qqhy8x,0.6183055710328256,0.3184844360351562,1490.0,0.0041168988591604,0.0008706020878304
steps,1,few_shot,4,0.6704526295040121,t33ajapx,0.6360039823963785,0.3238483276367187,1736.0,0.1878997883128378,0.000616104953938
steps,2,in_context,0,0.9496470723932152,bnppa3zj,0.949540972590711,0.5035376302083333,1902.0,0.1878997883128378,0.000616104953938
steps,2,in_context,1,0.9225377717474949,1y4h8p1d,0.9404239489032882,0.50317587890625,2705.0,0.146398788362281,0.0001575132049977
steps,2,in_context,2,0.9216439852397798,64xuassb,0.9420649025543452,0.50079453125,3663.0,0.1657475018303859,5.170191786366994e-05
steps,2,in_context,3,0.9537075519633186,pfy0fplu,0.9640104187490608,0.5093203776041667,1638.0,0.0517559963200033,0.0002113705944064
steps,2,in_context,4,0.950426931844926,kgsjjd3c,0.9610155016067022,0.5070130859375,2747.0,0.0584289297070436,5.4041038546473305e-05
steps,2,few_shot,0,1.0848030712617402,jx799fu0,1.0852808084536694,0.5807728271484375,1642.0,0.1202230023486417,0.000260702475837
steps,2,few_shot,1,1.0588443666677607,qke9c683,1.0377889614889484,0.5538359375,1288.0,0.119579995762217,0.0006978281265126
steps,2,few_shot,2,1.050944616066288,412vwe5l,1.0957825894238749,0.5812732543945313,2039.0,0.146398788362281,0.0001575132049977
steps,2,few_shot,3,1.117613893562612,6ftn71jy,1.074218901342549,0.574158447265625,1101.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,4,1.0938876316292054,7dcaetuh,1.0466769723634388,0.5584645385742187,1993.0,0.1931264066149118,0.0004138040112561
