fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
steps,1,in_context,0,0.6079083083417277,bdpcs3ig,0.5887165735721839,0.2873382161458333,95.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0
steps,1,in_context,1,0.5791947455617877,u98sb9b1,0.5869815070190256,0.2901139322916666,116.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0
steps,1,in_context,2,0.5812931616083029,yp2pmdyy,0.595139615535147,0.2876545572916666,185.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
steps,1,in_context,3,0.592909988726111,f10z2ddk,0.5909840039345856,0.2894818684895833,212.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
steps,1,in_context,4,0.6268497272283219,ow556as8,0.6065659655189458,0.28836474609375,143.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,1,few_shot,0,0.6434983328223332,5vt6gpit,0.6324252855042072,0.3355151977539062,223.0,0.2,1.913588048769229e-05,20.0,0.3503398491158687,0.0,10.0,8.0,255.0,-1.0
steps,1,few_shot,1,0.620082810840617,iz82rr2g,0.6361019135964361,0.3254271545410156,90.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,1,few_shot,2,0.618385590843096,l7xoocl5,0.6641541210104522,0.3367826232910156,275.0,0.2,0.0001251605833757,5.0,0.2656797431288616,1.0,100.0,4.0,255.0,-1.0
steps,1,few_shot,3,0.6873386408818746,bevlkbab,0.6267450057081738,0.3210501708984375,134.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,1,few_shot,4,0.6736073766445889,7gpm6o3d,0.6450031866093178,0.3270735473632812,85.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,2,in_context,0,0.9305685449534308,c5exej40,0.9338357454420227,0.4954765625,184.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,1,0.9167994884026384,hrpoczei,0.9299469323848834,0.4974244791666666,226.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
steps,2,in_context,2,0.915882751821552,qits478r,0.94134634519822,0.5002888020833334,78.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,in_context,3,0.9391657348340288,cftrv8h0,0.9359556697409912,0.4966207682291667,122.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,4,0.940057451116239,3b8p4ifx,0.9457173424961246,0.4978294270833334,160.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,few_shot,0,1.073306243143621,zsg7aboj,1.0674591988615638,0.5724105224609375,161.0,0.2,0.0001053621921034,10.0,0.2534741961949762,1.0,1000.0,16.0,255.0,-1.0
steps,2,few_shot,1,1.060131892650041,mqtpxilh,1.026959094575595,0.547206298828125,82.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,2,few_shot,2,1.0410496823369344,d955968z,1.0854144811154065,0.5765347900390625,163.0,0.2,6.83631406502272e-05,20.0,0.768810680147495,1.0,100.0,8.0,255.0,-1.0
steps,2,few_shot,3,1.1075559610623866,b8d7ftt9,1.0548865623162151,0.5617510986328125,136.0,0.2,0.0001053621921034,10.0,0.2534741961949762,1.0,1000.0,16.0,255.0,-1.0
steps,2,few_shot,4,1.0862856173976592,uj2r1kti,1.0580652392279395,0.5625556030273438,64.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0
