fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
steps,1,in_context,0,0.6364347678360136,6ijy8hue,0.6222717298187783,,100.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,1,in_context,1,0.6015205627391349,buzqhl5i,0.6073129626250305,,500.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,1,in_context,2,0.5997587368836536,wi1v7l5p,0.623691275001819,,213.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,1,in_context,3,0.6173892216933051,qq8jy46i,0.6146182401310241,,413.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,1,in_context,4,0.65317858585322,91gx8dj1,0.6427039026450826,,129.0,0.6321732490144019,0.0,100.0,32.0,1000.0,-1.0
steps,1,few_shot,0,1.5899687716843482,h5n68sm9,1.4011928230902837,,58.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
steps,1,few_shot,1,1.4327228362383662,vjci6zi5,1.4457737722938344,,7.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,1,few_shot,2,1.4191110272481768,ap8j9oki,1.5829015862891134,,130.0,0.181466839845264,0.0,100.0,4.0,500.0,-1.0
steps,1,few_shot,3,1.516802621964971,yzogthdl,1.3883853433163915,,47.0,0.53236175947515,0.0,1000.0,4.0,500.0,-1.0
steps,1,few_shot,4,1.4505153565137554,q9ins29x,1.5207707417640364,,101.0,0.0339160084943861,1.0,20.0,32.0,500.0,-1.0
steps,2,in_context,0,0.981893909343714,k1nfkvp5,0.9843684585125662,,500.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,1,0.9542701696445618,gayiz6eu,0.962365864139696,,500.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,2,0.9398327180061818,blmroj7h,0.9631071236956412,,498.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,3,0.9665740660450552,7gvdjzu1,0.9513359663095968,,500.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,4,0.9832076172856268,94ei9w3z,0.9869254199233458,,500.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,few_shot,0,2.174662035961798,jt9kcnp8,1.9262400257869925,,13.0,0.5139503522154862,0.0,20.0,16.0,1000.0,-1.0
steps,2,few_shot,1,1.9985299696968049,qe5xuxo9,1.964765529832307,,19.0,0.1254449923662644,0.0,20.0,32.0,255.0,-1.0
steps,2,few_shot,2,1.959126302688655,92ignqp9,2.119615897670148,,18.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,2,few_shot,3,2.0748209901131736,pky36pnc,1.942889973174156,,10.0,0.2076764556616242,0.0,1000.0,64.0,500.0,-1.0
steps,2,few_shot,4,2.0235427576738174,1ycc6hzj,2.065763996114018,,147.0,0.0160785817337106,0.0,100.0,64.0,500.0,-1.0
