fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
steps,1,in_context,0,1.4897026681803676,wwgx7qbs,1.4880864820385389,,39.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
steps,1,in_context,1,1.458209704199235,x230d1ko,1.468827871912754,,44.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
steps,1,in_context,2,1.4600425666545802,r53iv7ay,1.4898409882474497,,4.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,1,in_context,3,1.4899267585112554,901300qp,1.4934098768610164,,33.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
steps,1,in_context,4,1.4862628786771628,u14ymoma,1.4879359960315994,,5.0,0.5421814280975649,0.0,20.0,4.0,1000.0,-1.0
steps,1,few_shot,0,1.5901166374836735,83tmjefk,1.3979283746398812,,3.0,0.7452629792912638,0.0,100.0,4.0,1000.0,-1.0
steps,1,few_shot,1,1.4330205774719948,sn5yctpa,1.4450465385981914,,31.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
steps,1,few_shot,2,1.419785282966714,q1l20cmw,1.5802083178064543,,11.0,0.5421814280975649,0.0,20.0,4.0,1000.0,-1.0
steps,1,few_shot,3,1.5177354175054576,qzm6uga0,1.388815592044603,,79.0,0.040596116104843,0.0,20.0,8.0,500.0,-1.0
steps,1,few_shot,4,1.4793556134281838,bi5dwe1t,1.5149691376683223,,212.0,0.2409214543666476,1.0,1000.0,2.0,1000.0,-1.0
steps,2,in_context,0,2.0374531148297828,ookxj44c,2.0593183357281952,,12.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,in_context,1,2.0312246990478817,77t9b864,2.049766158278791,,84.0,0.040596116104843,0.0,20.0,8.0,500.0,-1.0
steps,2,in_context,2,2.017043747318068,fvzberwp,2.0310629676156555,,8.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,in_context,3,2.06850577530234,ajv786vf,2.0531272281997186,,16.0,0.1723598576082492,0.0,100.0,8.0,500.0,-1.0
steps,2,in_context,4,2.05517286912111,88sxo8g8,2.024276995946422,,9.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,few_shot,0,2.173785595096654,knv896ov,1.9167020283153795,,3.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,2,few_shot,1,2.003220146522779,j66sr84x,1.9619193812956688,,11.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,few_shot,2,1.9567716216112248,phnxjew6,2.1074863613489296,,2.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,2,few_shot,3,2.0742616143396155,r5m3q8on,1.9333617031060064,,360.0,0.010325337616482,0.0,1000.0,32.0,500.0,-1.0
steps,2,few_shot,4,2.050862120677334,xj36839x,2.072879555979317,,3.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
