fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,1,in_context,0,0.7122189284796037,771qnct5,0.6963241553804036,0.3567571144124773
steps,1,in_context,1,0.6786254375089955,8d5rla4x,0.6919084420691736,0.3558389603944736
steps,1,in_context,2,0.6985745109673367,9g2ob7cr,0.7184860963586126,0.3597071740308663
steps,1,in_context,3,0.6982287190716026,s1oese4w,0.7059046084732387,0.3596927279492987
steps,1,in_context,4,0.7301028103587119,3y7m5g1n,0.7190812209254126,0.3580617375713795
steps,1,few_shot,0,0.8689120789214345,0x2kj330,0.8312609879391933,0.4364389047651856
steps,1,few_shot,1,0.8329879362765868,ihqvtnt3,0.887856175877575,0.4530345175927564
steps,1,few_shot,2,0.8659171720530587,mrfpkz1b,0.8948024638486285,0.4542642859350588
steps,1,few_shot,3,0.9256144301449444,1gmagoug,0.8594436216297131,0.4429366575278077
steps,1,few_shot,4,0.8814016654711151,p95gatj3,0.8497415092916897,0.4396082127707534
steps,2,in_context,0,1.0879233782655933,jttus9i9,1.0725344872657765,0.5819201000527169
steps,2,in_context,1,1.0594690961275732,44j1bbmz,1.075910498244801,0.5865713086757852
steps,2,in_context,2,1.052670417377961,o3ccwi5n,1.0596874109907155,0.5751736806221324
steps,2,in_context,3,1.0827979030955506,c35zqk1q,1.0677924898417743,0.5789860028829026
steps,2,in_context,4,1.074851049472391,o02bgvbb,1.090469447830264,0.5856038333683944
steps,2,few_shot,0,1.3169601138358331,vv55xfxi,1.2748979049241569,0.7000116951593648
steps,2,few_shot,1,1.2881463620734532,7je4jrlu,1.3177618666999893,0.7167776683833774
steps,2,few_shot,2,1.282900551340074,ab96ta1r,1.325113099819204,0.7126827628298015
steps,2,few_shot,3,1.3415918448077135,cqi00ewu,1.2832538019520383,0.6954872011183757
steps,2,few_shot,4,1.3147958780343512,7ty46xz3,1.2852529049855432,0.6975293972114958
