fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
steps,1,in_context,0,0.6342259387131808,y7fdlooq,0.6174507348478481,0.3049525390625,1859.0,0.1202230023486417,0.000260702475837
steps,1,in_context,1,0.5970570827310062,hnrqsvfs,0.6091688836732694,0.3019900390625,2301.0,0.0912139968434072,0.0003718364180573
steps,1,in_context,2,0.6109759464260245,blppaupj,0.6242328897519401,0.3068983723958333,1858.0,0.1202230023486417,0.000260702475837
steps,1,in_context,3,0.6164433558693136,ay6kjev3,0.6147275013472908,0.3044742513020833,2035.0,0.1202230023486417,0.000260702475837
steps,1,in_context,4,0.644348589411689,qlml4yu4,0.6274371985102039,0.2985806640625,2782.0,0.1202230023486417,0.000260702475837
steps,1,few_shot,0,0.6769941029540056,ur65b7a3,0.6799044720991418,0.3586218872070312,1383.0,0.0608484485919075,0.0001120760621186
steps,1,few_shot,1,0.644514884819426,5lc1eadg,0.6728526471794188,0.3490702819824218,1853.0,0.1202230023486417,0.000260702475837
steps,1,few_shot,2,0.6564043521346598,i25ias8v,0.7274926685230638,0.3703414916992187,1515.0,0.1202230023486417,0.000260702475837
steps,1,few_shot,3,0.7166489275906218,1tzjl0rk,0.6533016845279218,0.3372037353515625,2213.0,0.1878997883128378,0.000616104953938
steps,1,few_shot,4,0.6966036456053388,snuk2v0v,0.6753509750962994,0.347414794921875,2400.0,0.1939169255529117,0.0003550304858128
steps,2,in_context,0,0.9782790467267664,rojz1hjr,0.9721197453525608,0.5207708333333333,1752.0,0.0116167224336398,0.0005399484409787
steps,2,in_context,1,0.95396798704962,iydpa6qb,0.976005771682706,0.5213648111979167,2773.0,0.1931264066149118,0.0004138040112561
steps,2,in_context,2,0.9475955678734388,5z6lor37,0.9716056953453698,0.517394921875,2610.0,0.0912139968434072,0.0003718364180573
steps,2,in_context,3,0.9661861876570454,t0q519q1,0.9755702443151156,0.5168648763020833,3534.0,0.0608484485919075,0.0001120760621186
steps,2,in_context,4,0.9685455880809356,e7bwmh10,0.9770401306168808,0.516458203125,3025.0,0.0517559963200033,0.0002113705944064
steps,2,few_shot,0,1.162655602956852,008igdod,1.13886892375126,0.6151700439453125,1807.0,0.1202230023486417,0.000260702475837
steps,2,few_shot,1,1.1155501793045437,suv49ytm,1.1068704146932735,0.5898338623046875,1626.0,0.1878997883128378,0.000616104953938
steps,2,few_shot,2,1.0984174836027494,kfvrfo2y,1.1763481105863935,0.6236255493164062,1043.0,0.0912139968434072,0.0003718364180573
steps,2,few_shot,3,1.177896975654799,ruhckwkf,1.1423367409733904,0.6093101806640625,1756.0,0.1878997883128378,0.000616104953938
steps,2,few_shot,4,1.1502863650144532,icsgwd07,1.1240053619459025,0.60049072265625,2381.0,0.1368466053024314,7.591104805282687e-05
