fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
steps,1,in_context,0,0.6091360983373548,p7gghz6i,0.5915834461707069,0.2910017903645833,134.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,1,in_context,1,0.5792475256809894,y15ta0bt,0.5870820196301684,0.2914235677083333,157.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,1,in_context,2,0.5837408310310902,a83mmzk2,0.6003259393493592,0.2910123046875,158.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0
steps,1,in_context,3,0.5998103593678747,23o9rdz6,0.5960663575971388,0.29403916015625,122.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,1,in_context,4,0.6322137006216327,g28zoy56,0.6167698806897568,0.29473876953125,220.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0
steps,1,few_shot,0,0.6592289098373151,st2yxu8h,0.6418112587191788,0.3404442138671875,166.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,1,few_shot,1,0.6390256493104838,x2v625ru,0.6541025530720082,0.3407933349609375,114.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,1,few_shot,2,0.6369179647336584,cy3vo4tc,0.6940240783882914,0.3563310546875,136.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,1,few_shot,3,0.7095057955268812,o0fdjkzi,0.6363636987431162,0.3308226623535156,182.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,1,few_shot,4,0.6866521876656784,c8xa7j0t,0.6614105773102776,0.3452275085449219,139.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,in_context,0,0.9336958476796704,qesi7n58,0.9250586382415728,0.49459658203125,180.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,in_context,1,0.9212085179888032,7oy0809q,0.9325721302598724,0.5022778645833333,243.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,2,0.9189645713702136,o2pxhagc,0.9365192106691927,0.4998956380208333,126.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,in_context,3,0.936175636839524,dpjd02xi,0.9332253692620944,0.4964392903645833,211.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,4,0.9537536418525918,7k39w4bj,0.9513226282770172,0.5038541666666667,136.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,few_shot,0,1.128888376711538,pz8iz38b,1.0956077496084062,0.59134521484375,157.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,few_shot,1,1.090628238607367,7uejlp2v,1.0624461761860524,0.57038134765625,128.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,few_shot,2,1.0791717117687911,4qguq77s,1.1220961579246234,0.5963453979492187,182.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,few_shot,3,1.142278579472137,n92v6vsz,1.0940175027801202,0.5835751953125,165.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,few_shot,4,1.1380117205514138,simz7gyj,1.074613545087842,0.5763632202148438,154.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
