name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,fixed_effect_type,feature_dimension,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth,epochs_trained,model.params.dropout,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
npboost-in_context-steps_1D-seed0,09swarj4,2026-07-24T07:42:14Z,npboost,in_context,0,rmse,0.2969937825520833,0.614648988077097,0.29733427734375,0.6027421342211988,3513.9288115501404,5.293982982635498,5.421618700027466,1.8058544229844264,steps,1,155.0,,,,,,,,,0.0,0.0007472397689332,10.0,0.7069476197217992,0.0,20.0,16.0,255.0,-1.0
npboost-in_context-steps_1D-seed0,0cn1wr1a,2026-07-25T04:48:52Z,npboost,in_context,0,rmse,0.302379296875,0.6300909477348122,0.3018592447916666,0.6157018280682446,4510.864539146423,5.303169250488281,5.215478420257568,1.7966174491935407,steps,1,118.0,,,,,,,,,0.0,0.0003583387974072,20.0,0.0166876416291958,0.0,10.0,8.0,255.0,-1.0
npboost-in_context-steps_1D-seed0,15408sf7,2026-07-25T01:51:25Z,npboost,in_context,0,rmse,0.3093962890625,0.6324378006752468,0.3084840494791667,0.6152933669392922,4146.876681566238,5.164376974105835,5.569785118103027,1.8064466562896944,steps,1,182.0,,,,,,,,,0.2,0.0002213282815989,10.0,0.0152199142675109,0.0,100.0,16.0,255.0,-1.0
npboost-in_context-steps_1D-seed0,26u3rx9o,2026-07-24T22:24:07Z,npboost,in_context,0,rmse,0.3079099283854166,0.6191275542715974,0.3078955078125,0.6052268376447929,5179.699726104736,4.7894062995910645,4.611882209777832,1.7516817825342337,steps,1,146.0,,,,,,,,,0.0,1.5905817778820346e-05,20.0,0.0138796110793157,1.0,20.0,16.0,255.0,-1.0
npboost-in_context-steps_1D-seed0,8tbs7fjc,2026-07-25T08:58:38Z,npboost,in_context,0,rmse,0.31656875,0.643348696621351,0.3169017578125,0.6308512755218443,3357.5698852539062,5.822851896286011,5.641535520553589,1.7414306696156647,steps,1,193.0,,,,,,,,,0.0,0.0008887704677237,5.0,0.0415963508411869,0.0,1000.0,4.0,255.0,-1.0
npboost-in_context-steps_1D-seed0,93u1h12y,2026-07-23T19:31:31Z,npboost,in_context,0,rmse,0.3043431315104166,0.6255625421837893,0.3033647786458333,0.6067498706167926,7972.651272773743,4.596039533615112,5.793423175811768,1.910580337202633,steps,1,404.0,,,,,,,,,0.2,7.309539835912905e-05,10.0,0.0383962929980417,1.0,10.0,8.0,255.0,-1.0
npboost-in_context-steps_1D-seed0,94s3ubes,2026-07-24T09:53:43Z,npboost,in_context,0,rmse,0.31567021484375,0.6387706265454057,0.3160130859375,0.6245122838957994,2934.9731731414795,4.889333248138428,5.03141975402832,2.0895176681046257,steps,1,182.0,,,,,,,,,0.2,0.0001251605833757,5.0,0.2656797431288616,1.0,100.0,4.0,255.0,-1.0
npboost-in_context-steps_1D-seed0,9juc7jf5,2026-07-23T23:47:05Z,npboost,in_context,0,rmse,0.3260157552083333,0.6458312966945915,0.32675009765625,0.6338991025000557,5644.640177488327,5.209444284439087,5.613071441650391,2.4285136318271965,steps,1,154.0,,,,,,,,,0.2,1.913588048769229e-05,20.0,0.3503398491158687,0.0,10.0,8.0,255.0,-1.0
npboost-in_context-steps_1D-seed0,bw5h7n3l,2026-07-25T03:01:13Z,npboost,in_context,0,rmse,0.3005901041666666,0.6124911337570579,0.30028671875,0.5974804132698238,6418.984175920486,4.937568664550781,4.986868619918823,1.5719788583146337,steps,1,177.0,,,,,,,,,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
npboost-in_context-steps_1D-seed0,c7pnykzs,2026-07-24T19:16:34Z,npboost,in_context,0,rmse,0.3052356119791666,0.6282884128155748,0.3035154296875,0.6106764639895186,4359.961779117584,5.453017234802246,5.708728551864624,1.9574305081301435,steps,1,196.0,,,,,,,,,0.2,0.0002091196066971,10.0,0.1284423092280945,0.0,100.0,4.0,255.0,-1.0
