fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,1,in_context,0,1.3798001567736309,q8j45q3a,1.3727687656423866,0.707073863013918
steps,1,in_context,1,1.4367730126891922,jk7dvccu,1.447944181397693,0.7763899710671047
steps,1,in_context,2,1.3876869912032397,kj512bxs,1.4216727856930362,0.7412248992867101
steps,1,in_context,3,1.4313849761355353,cshnwewq,1.441672680683989,0.768564129602084
steps,1,in_context,4,1.4399967755850815,x0toshgm,1.4362135688174331,0.7529296161691743
steps,1,few_shot,0,1.627142130483493,7tz7d2bd,1.4476807742134057,0.7726303311765546
steps,1,few_shot,1,1.4445464633458618,yi16xiqh,1.5460400512879706,0.8411022476368478
steps,1,few_shot,2,1.4422905237177155,2rgll9xi,1.5722792294995092,0.8500820046272969
steps,1,few_shot,3,1.582738753244602,lhyeg06v,1.487794429123492,0.812348828915565
steps,1,few_shot,4,1.5442183966465892,8pjhc8of,1.584956264476363,0.8538000572316925
steps,2,in_context,0,2.0123820997508783,zd632mhz,2.038626057934903,1.0301469753654222
steps,2,in_context,1,2.0242963072056974,0wy5du2e,2.0424823453439216,1.0333758953114014
steps,2,in_context,2,1.9769661189705137,vagyqcl6,1.9936126748142284,1.017801790480679
steps,2,in_context,3,2.052407374920418,y454pw3a,2.0338558262132675,1.0350415717621606
steps,2,in_context,4,2.027889100218512,ps8skwhd,1.9975703431507463,1.0152103775846744
steps,2,few_shot,0,2.233801511895726,qfw15zbz,1.9906561093279624,1.0182774132115304
steps,2,few_shot,1,2.005099835365264,zxb7yvg4,1.9992562815290675,1.0214064259326945
steps,2,few_shot,2,1.9820927375802209,94hm7ys2,2.1187096382669366,1.0886322908002202
steps,2,few_shot,3,2.1671255692902465,0jlcs7r1,1.9868743270196976,1.0081828791441605
steps,2,few_shot,4,2.1436797013579354,hjp9brd8,2.110055837378828,1.0802358970300916
