fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,1,in_context,0,0.7334970487811343,ue1t6arq,0.711047653524785,0.3317732932357106
steps,1,in_context,1,0.6928939836877217,92m5qfgo,0.7085319359894304,0.3366832338637952
steps,1,in_context,2,0.7079684631776915,8s4zkjfa,0.7303966819481907,0.33669794588987
steps,1,in_context,3,0.7137575854130414,8tqjndu5,0.7171576366111121,0.3342606256123008
steps,1,in_context,4,0.7478037556926055,2kwdvo4v,0.7371082610413837,0.3379981979953451
steps,1,few_shot,0,0.9007719703329168,9ktdil4e,0.8842450289174851,0.4514585361169161
steps,1,few_shot,1,0.8829892353711247,qsomgr9l,0.9113675261448054,0.4564567531860243
steps,1,few_shot,2,0.920367074068394,8rot9gac,0.919064031998863,0.4627064222453526
steps,1,few_shot,3,0.953105949192,c4phkw10,0.8965720557004071,0.4539129033210958
steps,1,few_shot,4,0.9427179847217808,8q5fqoy9,0.8973312217659241,0.4480289406924355
steps,2,in_context,0,1.1565524929643034,oqi1fyjc,1.145675898892314,0.6174487368806736
steps,2,in_context,1,1.1124720297474326,jcqeuj66,1.1271501449859354,0.6154978198233199
steps,2,in_context,2,1.117806138423288,i1yqcj6k,1.1273222338965254,0.613806858406342
steps,2,in_context,3,1.1345994968477553,yufgpq7t,1.1316053875321213,0.6144494415110902
steps,2,in_context,4,1.129376522573825,wnrdw77n,1.1581495845869547,0.620668010392389
steps,2,few_shot,0,1.475132205555713,gtreqy8r,1.424663677219135,0.7965477082542807
steps,2,few_shot,1,1.4491392435344854,9n9h8xq0,1.483712973212358,0.826470903915646
steps,2,few_shot,2,1.4732908259464643,atvxdlg5,1.4735802801111924,0.8164716872604092
steps,2,few_shot,3,1.477658511406145,vt1hs08n,1.4644801880696976,0.8143579209849315
steps,2,few_shot,4,1.4817545472361506,25kdchgg,1.4405421610827056,0.798965378374676
