task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
in_context,0,0.2534909920472002,ymunxuhg,0.2580867206232762,0.1546752972232802,,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0
in_context,1,0.2516557118586147,sy8xymzr,0.254698563006167,0.1385468976729162,,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0
in_context,2,0.2518290121421676,mot1h8i3,0.2709488454143756,0.1198165945965959,,0.2,0.0003600091192911,10.0,0.083744968684368,0.0,100.0,16.0,255.0,-1.0
in_context,3,0.2547251105758001,el7cebuo,0.2566016057275604,0.129350930775018,,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0
in_context,4,0.2634327304562576,aifzyij1,0.2503072300936526,0.126074881491751,,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0
few_shot,0,0.2771501486487895,c1sfq4kb,0.2570187192472855,0.1418767634702117,,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0
few_shot,1,0.2801614825393309,25hsavt5,0.2515631400855421,0.1295466417579522,,0.2,0.0001082971516786,10.0,0.2589103504433043,0.0,20.0,16.0,255.0,-1.0
few_shot,2,0.2468821678041012,i94yfzxe,0.2953727974911126,0.1396222846365125,,0.2,0.0001082971516786,10.0,0.2589103504433043,0.0,20.0,16.0,255.0,-1.0
few_shot,3,0.2649368878815249,b6f4jztn,0.2650755788138599,0.1326249650541299,,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0
few_shot,4,0.2446777001241692,yy5dnnjv,0.2540277819360884,0.1357321080694213,,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0
