model_name,task_name,test_rmse_mean,test_rmse_std,test_rmse_n,test_crps_mean,test_crps_std,test_crps_n,test_rmse_se,test_crps_se
npboost,in_context,0.2569202082696621,0.004963975087944805,5,0.12749536972009134,0.0032209578107946744,5,0.002219957147052016,0.0014404561235191594
npboost,few_shot,0.27202701659962275,0.021372832181276714,5,0.14247207274723855,0.01867007947488319,5,0.009558221125805967,0.008349513370232478
anpboost,in_context,0.25812859297300633,0.00774001193257817,5,0.13369292035191224,0.013539396598753747,5,0.003461438565580861,0.0060550022338285645
anpboost,few_shot,0.2646116035147777,0.017933194755125354,5,0.1358805525976455,0.005017330366728973,5,0.008019968505240596,0.0022438183531159864
np,in_context,0.26629040588069797,0.006835913972070291,5,0.12470500426635427,0.0018567291166530513,5,0.003057113665977954,0.0008303545041278719
np,few_shot,0.2813035099719287,0.020639693499422376,5,0.1362128660261703,0.00818905278985295,5,0.009230351539893789,0.003662255741889099
anp,in_context,0.2695696958430716,0.005677486118696812,5,0.12811313249594386,0.0029257106620387352,5,0.002539048980543502,0.0013084175845629051
anp,few_shot,0.2878684095600635,0.027188104585956087,5,0.14267714280278618,0.00744875422287254,5,0.012158890006714317,0.0033311841580063234
gbm_group_cat,in_context,0.27078875309854605,0.006872631396882644,5,,,0,0.0030735341975457854,
gbm_group_cat,few_shot,0.40075882481250724,0.04034828395815927,5,,,0,0.018044301141181683,
gbm_no_group,in_context,0.354311794045287,0.004442128318517943,5,,,0,0.0019865801769965914,
gbm_no_group,few_shot,0.3672465902688863,0.02439642911265394,5,,,0,0.010910414780829816,
gplinear,in_context,0.2972717935902495,0.007499429648694032,5,0.1381811794526951,0.001439365572574756,5,0.0033538468973914443,0.0006437038529500123
gplinear,few_shot,0.3675034911446319,0.0510989133313326,5,0.17736457134367584,0.018320827957847903,5,0.022852128757045984,0.008193323343565312
lme,in_context,0.31778962505951236,0.005590713758259689,5,0.17449543424996955,0.001167910362420848,5,0.0025002432012423983,0.0005223053923998864
lme,few_shot,0.372704025304395,0.07916076191168958,5,0.19265188023599963,0.014092065180346827,5,0.03540176895704282,0.0063021631373226675
tabicl_taskwise,in_context,0.30292160555631964,0.007117572272135342,5,0.1342911211571193,0.0014489591106124143,5,0.0031830750870524512,0.000647994213589399
tabicl_taskwise,few_shot,0.45568650063854604,0.05681078855962337,5,0.2310902712913802,0.027268665623617988,5,0.02540655701493704,0.012194917998024303
tabicl_pooled,in_context,0.3160037764045485,0.004553473375412537,5,0.15067547585313107,0.0012782941072233167,5,0.00203637520023157,0.0005716705037977482
tabicl_pooled,few_shot,0.3870536168063548,0.03010297512295946,5,0.2061954519168318,0.017637107143924486,5,0.013462459739984488,0.007887554100052463
