task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
in_context,0,0.2635350875715035,0jnw3ma8,0.2712508768285118,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,1,0.2656323289954346,57v6rms5,0.2676677936387094,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,2,0.2667971567346247,2rgb8i1t,0.2818356384179806,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,3,0.2676041398807532,e4sqt7da,0.2698935871790951,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,4,0.2764920820171961,8h7rvau2,0.2632958694284333,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
few_shot,0,0.4050236166900387,vqy9iihv,0.3638331468444136,,,0.2090966500355389,1.0,1000.0,64.0,1000.0,-1.0
few_shot,1,0.3938633869468371,8tqdpnwu,0.4154992771789718,,,0.2090966500355389,1.0,1000.0,64.0,1000.0,-1.0
few_shot,2,0.3631693473525156,9d7liyhk,0.4619643053675957,,,0.2090966500355389,1.0,1000.0,64.0,1000.0,-1.0
few_shot,3,0.3996049648425827,cbbuxn6o,0.3666927974012862,,,0.2090966500355389,1.0,1000.0,64.0,1000.0,-1.0
few_shot,4,0.3783867715212194,mlc2vgk8,0.395804597270269,,,0.2090966500355389,1.0,1000.0,64.0,1000.0,-1.0
