task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
in_context,0,0.350519162079325,4flqdc0r,0.3532140989220143,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,1,0.3520524602912518,34e7y9om,0.3531598754167482,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,2,0.3483659880827667,w0xv38hi,0.3604881475428589,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,3,0.3517304549737393,66wm07pi,0.3562561843902202,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,4,0.3591179907559079,ngjasmjr,0.3484406639545935,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
few_shot,0,0.3521590215948069,or6gzjis,0.3514873069881907,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
few_shot,1,0.3711433249724661,x1vvkokc,0.3546577258392945,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
few_shot,2,0.3330880100656144,yf2hx99t,0.4103979658057982,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
few_shot,3,0.3576808816512064,brt8o6kf,0.3609172423850811,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
few_shot,4,0.3478824753695592,ceqqqchn,0.3587727103260671,,,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
