task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
in_context,0,0.2586461815462102,ugn5evn6,0.2692894202407184,0.1234777390798077,,0.1957236684465528,0.0003965675081771
in_context,1,0.2580437942822034,7ti1jc5n,0.2628161263147437,0.1248999370697992,,0.1927325521002058,5.846326121643416e-05
in_context,2,0.2530336298912159,h4pwwoc6,0.2769549208287908,0.1278502064546985,,0.1043696643500143,6.75031252159592e-05
in_context,3,0.2617449311774661,c8o8k41f,0.2608702894828265,0.1238947270388344,,0.0719015801147572,7.4827960376208e-05
in_context,4,0.2682668165609689,htnfkwqw,0.2615212725364103,0.1234024116886316,,0.1333533430891335,0.00021941976179
few_shot,0,0.2946918560223663,gbt429mr,0.2603378389683951,0.1266428472921219,,0.1333533430891335,0.00021941976179
few_shot,1,0.3009966388574375,d24jead6,0.2761774715034966,0.1347251069051911,,0.0912300664433097,0.0001370464839284
few_shot,2,0.2622592884590291,0vhddgm6,0.315435218070905,0.1491834726243365,,0.1224191445444842,0.0001713436419711
few_shot,3,0.2828663138335325,udbajagg,0.2818033487792661,0.1367359049629582,,0.1957236684465528,0.0003965675081771
few_shot,4,0.2567763377123606,vndjhhu3,0.2727636725375809,0.1337769983462438,,0.1205526752143287,0.0001229607110732
