name,run_id,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_rmse_best,validation_rmse_best_epoch,validation_rmse_best_restored,model.params.dropout,model.train_params.learning_rate,validation_fixed_effect_residual_rmse,test_fixed_effect_residual_rmse,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
npboost-in_context-log_price-seed0,07fnmvft,npboost,in_context,0,rmse,0.1378114918963478,0.3692232551662533,0.1304165649208634,0.2717670002819093,9109.094560861588,20.95328378677368,21.291768550872803,0.2629160867830993,,,,,9.401223045176245,9.382223491389322,0.0,7.917412954846521e-05,10.0,0.1011064623519062,0.0,20.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,476q2bdb,npboost,in_context,0,rmse,0.1702640420840066,0.3161189680447955,0.1719589908338851,0.3094418877392428,10744.329654693604,9.45767903327942,10.318597316741943,0.3062788016057365,,,,,9.560480981848434,9.449738541872732,0.2,2.017016316297149e-05,20.0,0.0582929613195039,1.0,1000.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,5rrsyuye,npboost,in_context,0,rmse,0.1247544937626817,0.2516839993781087,0.1300301737380159,0.2556740922618686,10646.089658260344,11.80426263809204,11.93744134902954,0.2488740360225532,,,,,6.746304573477927,6.739827824473234,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,65bgvkh6,npboost,in_context,0,rmse,0.1179065466210939,0.2560788911107395,0.1199427167139831,0.260411482653573,22123.41726756096,11.106974363327026,11.521180868148804,0.2546668233899677,,,,,9.585753100284531,9.587723704946209,0.2,0.0001381635682257,10.0,0.0261669745608544,1.0,20.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,8v9avqwi,npboost,in_context,0,rmse,0.1313474243321485,0.2609671647342284,0.1371088593557952,0.2662969552685515,7747.710372924805,9.51509690284729,9.620566129684448,0.2603828398681965,,,,,8.019360326322959,8.040744821491197,0.0,3.1392574253118284e-05,5.0,0.1121865737283773,0.0,10.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,d424bqqm,npboost,in_context,0,rmse,0.1211636107116996,0.2608150466179523,0.1231666597188259,0.2636652305766577,9159.321925163267,11.386808156967165,10.95853853225708,0.25862566398736,,,,,9.527415591128532,9.5347859980631,0.2,0.0002371245680478,10.0,0.0322020325894309,1.0,100.0,16.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,djc08g8e,npboost,in_context,0,rmse,0.1192568261825702,0.2639353422307242,0.1219405546242955,0.2696029967487643,17962.372337818146,11.551883220672607,11.908686637878418,0.2624533730169041,,,,,9.42402349239156,9.425746871046234,0.2,0.0002563473332261,20.0,0.1427109105814198,1.0,1000.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,dkr7m9tz,npboost,in_context,0,rmse,0.1302456535602952,0.2740643828450163,0.1229247410452411,0.2686116826874958,8726.550380468369,10.56635284423828,9.999470949172974,0.2608063219414898,,,,,9.42844035787365,9.406464234400854,0.0,0.0004242243954166,10.0,0.5800570688908553,1.0,20.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,do24iv6p,npboost,in_context,0,rmse,0.1189997743285774,0.2621724933287845,0.1208496655975094,0.2657411783003806,21483.78264284134,10.952327966690063,11.845503330230711,0.2586695066835993,,,,,9.440017748268836,9.448593788779624,0.2,0.0001605191133358,20.0,0.0750195444362012,1.0,20.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,dxb710wz,npboost,in_context,0,rmse,0.1807794412526743,0.3271915562067594,0.1677457685542481,0.2918523577476586,5865.989066123962,11.292342901229858,11.49409556388855,0.2864118294097355,,,,,8.843425739704045,8.395600953986488,0.2,2.9067203620664195e-05,5.0,0.1823458458254781,0.0,10.0,8.0,255.0,-1.0,,,,,
