task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.3091416969519698,hyh0i5tf,0.3153608138494567,0.151716038068552
in_context,1,0.3059540488138583,dw2fkdey,0.3131311046059502,0.1496655567750607
in_context,2,0.3044656037203468,41rsgncb,0.3238167769740629,0.1515271491598223
in_context,3,0.3071359732864528,ia01o1qi,0.312441909140738,0.1489461312209211
in_context,4,0.3200748941612769,vd4h1dwq,0.3152682774525347,0.1515225040412992
few_shot,0,0.3724691996784855,eg9g3vxz,0.3550681168682726,0.188469795959751
few_shot,1,0.3983935513877905,oyrkqp3i,0.3715726836610607,0.1956151506352138
few_shot,2,0.3670749945148836,p0sf052a,0.430381527078097,0.2271257346230637
few_shot,3,0.3893819240742503,24z8vg6c,0.3736931430616809,0.1966007533231616
few_shot,4,0.3692862577127132,eku72j2i,0.4045526133626628,0.223165825042969
