model_name,task_name,test_rmse_mean,test_rmse_std,test_rmse_n,test_crps_mean,test_crps_std,test_crps_n,test_rmse_se,test_crps_se
npboost,in_context,0.2315342154682889,0.016143740329136628,5,0.1612322671072823,0.04012485504486453,5,0.0072197001574108655,0.01794438069352849
npboost,few_shot,0.25757433801811547,0.030387644754595627,5,0.16694995721857536,0.02705298129594818,5,0.013589767869478147,0.012098461034354097
anpboost,in_context,0.2340193001772673,0.021714621924227042,5,0.1764412577559308,0.03388396183347775,5,0.00971107414565579,0.01515336840133293
anpboost,few_shot,0.24945729447388842,0.02397527296811662,5,0.17324107536190683,0.023337232005651822,5,0.010722068027164381,0.010436727434264246
np,in_context,0.24528471518420686,0.014515251835767778,5,0.13704528742135608,0.00916723211044909,5,0.006491417963061073,0.0040997108328966044
np,few_shot,0.2703407247921499,0.03206733303103883,5,0.17379691063856761,0.028753981213706006,5,0.014340947302905438,0.012859171323519707
anp,in_context,0.2452655586311982,0.014366186031261496,5,0.16470938027943463,0.04205496534288472,5,0.006424753708661725,0.018807552259617596
anp,few_shot,0.2537633554681749,0.02570990527413173,5,0.19128848036490811,0.02261042878888106,5,0.011497819177607782,0.010111691154471258
gbm_group_cat,in_context,0.2657682359437983,0.024012073639899253,5,,,0,0.010738525787909107,
gbm_group_cat,few_shot,0.3165438098652106,0.025285838187784196,5,,,0,0.01130817061118911,
gbm_no_group,in_context,0.30273010961238983,0.01492821694546691,5,,,0,0.006676101574585656,
gbm_no_group,few_shot,0.29632964060419725,0.02788334523637247,5,,,0,0.012469811077724756,
gplinear,in_context,0.23871197969191882,0.010593918845629042,5,0.13021981010570807,0.005113401965738477,5,0.004737744537388527,0.002286782878334457
gplinear,few_shot,0.2529924178905031,0.03056250232181379,5,0.14020151739283404,0.016897457233566386,5,0.013667966550814157,0.007556772604229996
lme,in_context,0.27197574078803943,0.012362635111282792,5,0.15217538664742897,0.005655472792529174,5,0.0055287384979708,0.0025292043217991595
lme,few_shot,0.2803156802627467,0.02183569403540648,5,0.15809313012088622,0.011248620143065144,5,0.009765219239811117,0.005030535858593414
tabicl_taskwise,in_context,0.26322757643205585,0.009639572677256453,5,0.1528564818394786,0.004509758732501797,5,0.004310947956079014,0.0020168254175994614
tabicl_taskwise,few_shot,0.2929617136148498,0.0279764772706275,5,0.17367306232884977,0.019399475545387686,5,0.012511460989620173,0.008675709209466333
tabicl_pooled,in_context,0.23876630646341757,0.014334286668934987,5,0.13027832179048746,0.007322187342683709,5,0.00641048788014153,0.003274581728445864
tabicl_pooled,few_shot,0.23644470123492392,0.025784519651271712,5,0.1313525700869198,0.013289496769387526,5,0.011531187741484544,0.005943243632622871
