task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
in_context,0,0.2432198495754734,dpj3pljn,0.229250329276771,,259.0,0.0432480329052877,0.0,10.0,8.0,255.0,-1.0
in_context,1,0.2532752293860287,konwxou8,0.274124881680225,,40.0,0.6428191198097525,1.0,20.0,8.0,500.0,-1.0
in_context,2,0.2789124023460568,ibmdwvpv,0.2562421452474018,,69.0,0.6428191198097525,1.0,20.0,8.0,500.0,-1.0
in_context,3,0.2267198875256278,w5s7k21j,0.2917537968852408,,206.0,0.0988058664639341,0.0,20.0,16.0,255.0,-1.0
in_context,4,0.2528615090540794,zha4o2sm,0.2774700266293529,,379.0,0.0109758154193801,0.0,20.0,32.0,1000.0,-1.0
few_shot,0,0.257584450979742,6jp91hu9,0.3304259212875824,,2.0,0.8668489138169221,0.0,10.0,32.0,1000.0,-1.0
few_shot,1,0.3122872916692004,i04ooilv,0.331670057705689,,73.0,0.6428191198097525,1.0,20.0,8.0,500.0,-1.0
few_shot,2,0.2999548048345989,ym4dztoh,0.3226544907265202,,25.0,0.2482318741925865,1.0,20.0,4.0,500.0,-1.0
few_shot,3,0.3098060306417555,aokeitph,0.271763303873608,,500.0,0.1271700786387963,1.0,10.0,2.0,500.0,-1.0
few_shot,4,0.2889454811405011,pblomnss,0.3262052757326535,,387.0,0.1271700786387963,1.0,10.0,2.0,500.0,-1.0
