task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
in_context,0,0.2895748210913568,6jqsjh12,0.2929288214586446,,12.0,0.2482318741925865,1.0,20.0,4.0,500.0,-1.0
in_context,1,0.2971110604456127,trod87b6,0.314463055320309,,15.0,0.2482318741925865,1.0,20.0,4.0,500.0,-1.0
in_context,2,0.3285971990622931,oi0e81nl,0.2876990033543362,,17.0,0.2482318741925865,1.0,20.0,4.0,500.0,-1.0
in_context,3,0.2786991638552059,ht9yeh0s,0.3224317814762438,,2.0,0.6428191198097525,1.0,20.0,8.0,500.0,-1.0
in_context,4,0.2981027752053825,51s314k3,0.2961278864524155,,2.0,0.6428191198097525,1.0,20.0,8.0,500.0,-1.0
few_shot,0,0.286405061418289,hwz6im53,0.3309949053488522,,10.0,0.0432480329052877,0.0,10.0,8.0,255.0,-1.0
few_shot,1,0.3116392708464061,750vqvsf,0.2889145600925631,,8.0,0.2482318741925865,1.0,20.0,4.0,500.0,-1.0
few_shot,2,0.2984867812476496,zflor2hg,0.2895229585553864,,381.0,0.1271700786387963,1.0,10.0,2.0,500.0,-1.0
few_shot,3,0.2960516491582415,cop98r7a,0.257841651203994,,498.0,0.1271700786387963,1.0,10.0,2.0,500.0,-1.0
few_shot,4,0.2663111045751397,7mgqrlx1,0.3143741278201907,,460.0,0.1271700786387963,1.0,10.0,2.0,500.0,-1.0
