task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
in_context,0,0.2104269023867653,i3csrk1l,0.2120210922390381,0.1214057842613512,159.0,0.0,0.0002780425090632,10.0,0.0105542692281163,1.0,20.0,8.0,255.0,-1.0
in_context,1,0.2264336800397458,9ok5xd3i,0.2410725486089511,0.1333214098568162,157.0,0.2,0.0002563473332261,20.0,0.1427109105814198,1.0,1000.0,8.0,255.0,-1.0
in_context,2,0.2441439325303581,2lfpauol,0.2163017062453437,0.2052488293797296,338.0,0.0,3.9184339457363744e-05,5.0,0.7978205565731539,1.0,100.0,16.0,255.0,-1.0
in_context,3,0.1917090639088093,u3l2ssk9,0.2473787233034929,0.2035562069989247,327.0,0.0,1.2904721633073898e-05,20.0,0.2325748079967941,0.0,100.0,8.0,255.0,-1.0
in_context,4,0.2259458118409965,q482s3js,0.2408970069446188,0.1426291050395899,112.0,0.0,0.0002780425090632,10.0,0.0105542692281163,1.0,20.0,8.0,255.0,-1.0
few_shot,0,0.2065921588606107,her2unes,0.2886254501006295,0.1899374387203118,86.0,0.0,0.0002780425090632,10.0,0.0105542692281163,1.0,20.0,8.0,255.0,-1.0
few_shot,1,0.2372053994926636,y58n2jej,0.2546939785717496,0.1443549546619389,177.0,0.2,0.0002563473332261,20.0,0.1427109105814198,1.0,1000.0,8.0,255.0,-1.0
few_shot,2,0.2407336567689997,sgkf4c9r,0.2220835310444023,0.1997308669946133,148.0,0.0,7.917412954846521e-05,10.0,0.1011064623519062,0.0,20.0,8.0,255.0,-1.0
few_shot,3,0.2214046507432036,nri5b3fs,0.2344502392404808,0.1388812805312911,190.0,0.0,0.0002507518284371,10.0,0.0302023368339538,1.0,10.0,8.0,255.0,-1.0
few_shot,4,0.2328002003647186,r9xxaljf,0.2880184911333152,0.1618452451847217,127.0,0.0,0.0004242243954166,10.0,0.5800570688908553,1.0,20.0,4.0,255.0,-1.0
