name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,epochs_trained,model.params.dropout
npboost-in_context-protein-seed0,09uhrp4o,2026-07-21T11:22:35Z,npboost,in_context,0,rmse,0.1650769170568379,0.2156361127729208,0.1645392806687836,0.2173904794403629,534.4173150062561,0.3412027359008789,0.3188681602478027,3.3589520070895897,188.0,,,,,,,0.0,7.917412954846521e-05,10.0,0.1011064623519062,0.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed0,14d9xhcu,2026-07-21T10:32:52Z,npboost,in_context,0,rmse,0.3502898000258602,0.3004084796287998,0.3502306988014992,0.3013978386983496,50.44125151634216,0.329890489578247,0.3383729457855224,2.6894092642129475,4.0,,,,,,,0.2,2.9067203620664195e-05,5.0,0.1823458458254781,0.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed0,19x74lxz,2026-07-21T08:16:53Z,npboost,in_context,0,rmse,0.316660572012127,0.2929275380166441,0.3187408580181906,0.3055777594484793,52.93593525886536,0.3480803966522217,0.3360955715179443,1.33593536040035,6.0,,,,,,,0.2,1.090384328196852e-05,5.0,0.7717846862118062,0.0,20.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed0,1kfzh0sm,2026-07-21T11:37:18Z,npboost,in_context,0,rmse,0.2550851775378716,0.25523390413689,0.2537601484238894,0.2515444840772619,132.98937511444092,0.3427939414978027,0.3254437446594238,2.884557049518362,57.0,,,,,,,0.0,3.1392574253118284e-05,5.0,0.1121865737283773,0.0,10.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed0,1khskdfo,2026-07-21T10:48:27Z,npboost,in_context,0,rmse,0.1609384822513168,0.2367470019183888,0.1598614483344845,0.2350458083433315,385.3192570209503,0.2681024074554443,0.2819530963897705,3.439946164800365,121.0,,,,,,,0.2,0.0001496922341954,10.0,0.0831211929407696,1.0,1000.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed0,3nafxu6y,2026-07-21T11:18:54Z,npboost,in_context,0,rmse,0.259271296059213,0.2949878777579766,0.2599836675132193,0.3001805791850457,103.3434681892395,0.3343312740325928,0.3361659049987793,3.658336398538449,12.0,,,,,,,0.2,0.0001082971516786,10.0,0.2589103504433043,0.0,20.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed0,48doc7tv,2026-07-21T10:58:29Z,npboost,in_context,0,rmse,0.1220301983663844,0.2124260364086441,0.1244788153246304,0.2179314591736343,484.4246373176574,0.3217835426330566,0.3263494968414306,3.397239020204436,168.0,,,,,,,0.0,0.0002507518284371,10.0,0.0302023368339538,1.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed0,6kfc6pom,2026-07-21T11:06:39Z,npboost,in_context,0,rmse,0.1282606822688405,0.2291094878675723,0.1251005511666008,0.2224231948891877,381.2065987586975,0.35658860206604,0.3462481498718261,3.448936088612662,122.0,,,,,,,0.2,0.0004276097878757,10.0,0.0133482983182945,0.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed0,8l7x0kff,2026-07-21T07:56:21Z,npboost,in_context,0,rmse,0.1214275825314405,0.2202988770061499,0.1207694110139321,0.2190860563132768,1018.7314264774324,0.2669119834899902,0.2532761096954345,3.44527458379538,186.0,,,,,,,0.2,0.0001605191133358,20.0,0.0750195444362012,1.0,20.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed0,9cgcmx6o,2026-07-21T08:13:29Z,npboost,in_context,0,rmse,0.1734612926788862,0.2679363150603298,0.1709730367627293,0.263891554804804,197.3773593902588,0.3314270973205566,0.3229482173919678,3.4968846402066105,51.0,,,,,,,0.2,0.0003600091192911,10.0,0.083744968684368,0.0,100.0,16.0,255.0,-1.0,,
