fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
zero,1,in_context,0,0.5631801393259457,ox9v3a69,0.5672329602373956,0.32146005859375,1656.0,0.119579995762217,0.0006978281265126
zero,1,in_context,1,0.5622479809804027,poy6m52x,0.5717364584661824,0.3235215494791666,1793.0,0.1931264066149118,0.0004138040112561
zero,1,in_context,2,0.5660918767331394,t2hnybby,0.5619815451662723,0.3177839192708333,3553.0,0.0312037280884873,2.0511104188433963e-05
zero,1,in_context,3,0.5665191772731961,238asgbn,0.5663743134984118,0.3201818359375,3413.0,0.0312037280884873,2.0511104188433963e-05
zero,1,in_context,4,0.5619749862820369,c45x3n3m,0.5642282912737936,0.3191652994791666,2421.0,0.1368466053024314,7.591104805282687e-05
zero,1,few_shot,0,0.6258056548393861,t6u8tvea,0.6653867628655851,0.3740277709960937,1666.0,0.0068777042230436,0.0006586289317583
zero,1,few_shot,1,0.6227540746036996,2b8tci0i,0.6217291730656374,0.3499820556640625,1595.0,0.1878997883128378,0.000616104953938
zero,1,few_shot,2,0.6329191516829555,f8rpbnfg,0.6440343703786694,0.3627330932617187,1105.0,0.0749080237694725,0.0007969454818643
zero,1,few_shot,3,0.6182007095143172,o47mmq5x,0.6320587732747122,0.3568436889648437,1299.0,0.1878997883128378,0.000616104953938
zero,1,few_shot,4,0.6390066881548153,lqoa54lf,0.634670577685228,0.3573458862304687,1503.0,0.0749080237694725,0.0007969454818643
zero,2,in_context,0,0.8246298821437116,wxmltdz8,0.8390842522511949,0.4732085286458333,1864.0,0.1939169255529117,0.0003550304858128
zero,2,in_context,1,0.828189935565323,p4gh889m,0.834716472448116,0.4691380859375,1525.0,0.0623422152178821,0.0001096821720752
zero,2,in_context,2,0.8257003822024115,yytrmgu5,0.829466631427447,0.4656552408854166,1687.0,0.1202230023486417,0.000260702475837
zero,2,in_context,3,0.8343943742808668,y5ecikzs,0.8279986400957251,0.4646352864583333,1210.0,0.0912139968434072,0.0003718364180573
zero,2,in_context,4,0.8209391641060433,r0tb2fx9,0.8239067926961027,0.4627277994791666,1849.0,0.0130103185970559,0.0007902619549708
zero,2,few_shot,0,0.9415787213550832,2ptyyxwo,0.9696039782968818,0.54447900390625,1231.0,0.1202230023486417,0.000260702475837
zero,2,few_shot,1,0.9536590698636396,b9wglja4,0.938290684124498,0.5263865966796875,1797.0,0.1939169255529117,0.0003550304858128
zero,2,few_shot,2,0.9219065780254474,i1ptj3aq,0.9587991521439014,0.538228759765625,1235.0,0.0912139968434072,0.0003718364180573
zero,2,few_shot,3,0.929404920534241,onro6q7i,0.9508799530888776,0.5335250854492187,2334.0,0.1368466053024314,7.591104805282687e-05
zero,2,few_shot,4,0.9461474038379252,w62r1vtg,0.9326590268897932,0.52139892578125,1884.0,0.119579995762217,0.0006978281265126
