fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
zero,1,in_context,0,0.563630305312581,7r9fhtii,0.5686152009373271,0.3218450846354166,106.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
zero,1,in_context,1,0.5638087796843653,u665dhee,0.5709744366503843,0.3230529296875,145.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
zero,1,in_context,2,0.5675375762928593,vdmni02d,0.5667683521062875,0.3206809895833333,216.0,0.2,6.83631406502272e-05,20.0,0.768810680147495,1.0,100.0,8.0,255.0,-1.0
zero,1,in_context,3,0.5650996316511038,9uveoqor,0.5651633321758025,0.3195612630208333,168.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
zero,1,in_context,4,0.5620691468853762,wdjyf484,0.5652081429864347,0.31988740234375,142.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
zero,1,few_shot,0,0.6348381524737191,i8grj5f6,0.6708435653945377,0.376965576171875,54.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
zero,1,few_shot,1,0.6239069251770492,r0jtct4a,0.6339450271262949,0.3561729125976562,93.0,0.0,0.0008831228248242,10.0,0.3887072196612053,1.0,100.0,8.0,255.0,-1.0
zero,1,few_shot,2,0.6287238072628177,wrct8ipo,0.6403147283570703,0.3607583312988281,132.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
zero,1,few_shot,3,0.6206210012977467,50xjbb34,0.6404583012765657,0.3616670532226562,246.0,0.2,3.6649592076212935e-05,20.0,0.9572167377160832,0.0,100.0,16.0,255.0,-1.0
zero,1,few_shot,4,0.6416485250930906,l1mbfwbh,0.6415486248333387,0.3595637817382812,135.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
zero,2,in_context,0,0.8247401865616117,u35w89pk,0.8375745701237125,0.4714907552083333,146.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
zero,2,in_context,1,0.8249812372737999,do6wv1xh,0.8319126516035935,0.4678018880208333,193.0,0.2,0.0002091196066971,10.0,0.1284423092280945,0.0,100.0,4.0,255.0,-1.0
zero,2,in_context,2,0.8250217491642581,iai98ps6,0.8252407410050423,0.463306640625,121.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
zero,2,in_context,3,0.8330699375219788,tytpbxsp,0.8279698129202385,0.46433046875,130.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
zero,2,in_context,4,0.8208016887204189,33dpkaic,0.8213964103814382,0.4616067708333333,190.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
zero,2,few_shot,0,0.9407413712003682,cv0u2ins,0.9697901928688528,0.54540087890625,93.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
zero,2,few_shot,1,0.9509617641829956,2nfn7k1w,0.936953207302062,0.525875244140625,110.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
zero,2,few_shot,2,0.9197309772817436,d7yptcxb,0.9591202044075232,0.5376495971679688,131.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
zero,2,few_shot,3,0.9303162574743752,4xt9fnmw,0.9521452014071268,0.5342672119140625,144.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
zero,2,few_shot,4,0.9520999947156804,fk8qh7zz,0.9354564368559548,0.52400830078125,69.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
