model_name,fixed_effect_type,feature_dimension,task_name,test_rmse_mean,test_rmse_std,test_rmse_n,test_crps_mean,test_crps_std,test_crps_n,test_rmse_se,test_crps_se
npboost,zero,1,in_context,0.5675509029795385,0.003573582295337081,5,0.32194511718749996,0.00298578513862552,5,0.0015981545871126884,0.001335283707235059
npboost,zero,1,few_shot,0.6725016107704826,0.01843918869433025,5,0.37932258911132805,0.010216124946724161,5,0.008246255874093606,0.004568789969501328
npboost,zero,2,in_context,0.8358856933263251,0.005264852988545512,5,0.48267839192708334,0.005606164655996247,5,0.0023545138347861373,0.0025071530527728666
npboost,zero,2,few_shot,1.0105036478336484,0.01556015645279976,5,0.5699711059570312,0.00980420555155577,5,0.006958713513798452,0.004384574015731904
anpboost,zero,1,in_context,0.5673458929712473,0.002472072613124263,5,0.32100553385416664,0.0014437919267490493,5,0.001105544481652278,0.0006456833787152542
anpboost,zero,1,few_shot,0.6454220493975614,0.014523278359875652,5,0.3630255310058593,0.008066173235642729,5,0.006495007533766722,0.003607302334637314
anpboost,zero,2,in_context,0.8288188372068049,0.0062219486714406285,5,0.46570730468749993,0.00394679687519331,5,0.0027825400363711496,0.0017650612212631988
anpboost,zero,2,few_shot,0.9506930485683039,0.014652339389464348,5,0.5334402465820313,0.008769978522468247,5,0.006552725380848009,0.003922053627490433
np,zero,1,in_context,0.5687483491803234,0.0034829188740042793,5,0.32238024739583326,0.0027754391817574075,5,0.0015576086724781186,0.0012412141355651915
np,zero,1,few_shot,0.688850670292547,0.015062584147925186,5,0.38808155517578125,0.008391014694931117,5,0.006736192414314292,0.003752575851613127
np,zero,2,in_context,0.8430134846781059,0.006597793329426941,5,0.48341712239583334,0.00444331031724911,5,0.0029506228772186605,0.001987108782899033
np,zero,2,few_shot,1.0186770970687657,0.016984713792626435,5,0.5753816528320312,0.010486698313200577,5,0.007595794923738195,0.004689794057569774
