fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
zero,1,in_context,0,0.5737767223832914,0eivy2s4,0.5744151696402262,,258.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
zero,1,in_context,1,0.577783222854603,fk9vz9fx,0.5822885593934606,,491.0,0.1254449923662644,0.0,20.0,32.0,255.0,-1.0
zero,1,in_context,2,0.5769557788509005,84csdfsq,0.5749848229521471,,319.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
zero,1,in_context,3,0.5798802443444223,y9rz5viq,0.5785114736724436,,259.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
zero,1,in_context,4,0.5813127752384187,u6pul0n7,0.5852138232555061,,229.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
zero,1,few_shot,0,1.1665287108583346,ineekcbh,1.1074226107830374,,2.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
zero,1,few_shot,1,1.1051763174956362,h9udc26d,1.066941235353388,,9.0,0.7452629792912638,0.0,100.0,4.0,1000.0,-1.0
zero,1,few_shot,2,1.0928934403640405,izl1l47e,1.1608343263667822,,37.0,0.7452629792912638,0.0,100.0,4.0,1000.0,-1.0
zero,1,few_shot,3,1.1290624576306396,fudi7ohb,1.0783079216300806,,2.0,0.0339160084943861,1.0,20.0,32.0,500.0,-1.0
zero,1,few_shot,4,1.1054656323665208,o7dse7ap,1.1487496810671955,,1.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
zero,2,in_context,0,0.9217599164535266,dybjy3xh,0.938160822348407,,499.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
zero,2,in_context,1,0.9209497578645708,wmavx1mc,0.9247641796325736,,500.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
zero,2,in_context,2,0.9265974444243612,4zp8vw3t,0.9273799710807712,,500.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
zero,2,in_context,3,0.9332546570022108,dqr0zzki,0.9286585684852146,,499.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
zero,2,in_context,4,0.9238983201427295,epfoo2sj,0.9165465045370502,,499.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
zero,2,few_shot,0,1.1331228847281103,ekhpo3c0,1.1283292490623895,,17.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
zero,2,few_shot,1,1.1195880212036928,wwx91rxw,1.0894451397367475,,3.0,0.056115164153345,0.0,10.0,32.0,255.0,-1.0
zero,2,few_shot,2,1.104391243676896,2b7xy6xf,1.14164612268466,,7.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
zero,2,few_shot,3,1.1182227778232612,sh47uxnx,1.1110930974174258,,9.0,0.53236175947515,0.0,1000.0,4.0,500.0,-1.0
zero,2,few_shot,4,1.1107436224423632,zuhteuxg,1.105231851598138,,77.0,0.0543959123656852,1.0,100.0,16.0,500.0,-1.0
