fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
zero,1,in_context,0,1.118722225726266,ku88wlnk,1.1185407809803172,,9.0,0.0374181665960717,0.0,20.0,4.0,1000.0,-1.0
zero,1,in_context,1,1.0968971886379142,warq4vpo,1.1091015037186298,,63.0,0.2409214543666476,1.0,1000.0,2.0,1000.0,-1.0
zero,1,in_context,2,1.1159173541272465,soldyid2,1.1197079785301336,,13.0,0.0374181665960717,0.0,20.0,4.0,1000.0,-1.0
zero,1,in_context,3,1.123797048308275,iacholo0,1.124428887228231,,18.0,0.2409214543666476,1.0,1000.0,2.0,1000.0,-1.0
zero,1,in_context,4,1.115482077509948,zbpmgx45,1.100602368963189,,7.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
zero,1,few_shot,0,1.1668652439580274,h7d4zg87,1.1042697483825377,,2.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
zero,1,few_shot,1,1.1073220518503342,wp6lxk6i,1.0656453519757398,,18.0,0.010325337616482,0.0,1000.0,32.0,500.0,-1.0
zero,1,few_shot,2,1.0960608560575928,64o5nt77,1.1607629885343504,,2.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
zero,1,few_shot,3,1.1293050156476838,ux1b61l4,1.077864933077865,,4.0,0.1239996783684609,1.0,20.0,2.0,500.0,-1.0
zero,1,few_shot,4,1.110381874510101,vy26ig4d,1.151264008994516,,15.0,0.0339160084943861,1.0,20.0,32.0,500.0,-1.0
zero,2,in_context,0,1.1115273864944948,wjre19jd,1.1261208907765312,,5.0,0.5421814280975649,0.0,20.0,4.0,1000.0,-1.0
zero,2,in_context,1,1.1120857565612063,zrthjmc1,1.118336327069894,,24.0,0.2409214543666476,1.0,1000.0,2.0,1000.0,-1.0
zero,2,in_context,2,1.1152265856343084,virtru9r,1.1186488366688478,,3.0,0.7452629792912638,0.0,100.0,4.0,1000.0,-1.0
zero,2,in_context,3,1.1250501155936528,22qyyd36,1.1225315854876623,,1.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
zero,2,in_context,4,1.1079628280486895,lwocmhys,1.1097715227314269,,25.0,0.0364643955898072,0.0,100.0,8.0,500.0,-1.0
zero,2,few_shot,0,1.1323837279224218,6lgniuif,1.1296132159020102,,6.0,0.7452629792912638,0.0,100.0,4.0,1000.0,-1.0
zero,2,few_shot,1,1.1196655998818432,jwfzdk80,1.0899822778034816,,6.0,0.181466839845264,0.0,100.0,4.0,500.0,-1.0
zero,2,few_shot,2,1.1044080716031135,wgt45cp1,1.1415255049192474,,1.0,0.0102358324351751,1.0,1000.0,32.0,255.0,-1.0
zero,2,few_shot,3,1.1179042160071164,ilx6vlu7,1.1113448637944594,,4.0,0.2076764556616242,0.0,1000.0,64.0,500.0,-1.0
zero,2,few_shot,4,1.1108151347181436,sb92700i,1.1051451142796804,,14.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
