fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
zero,1,in_context,0,0.5464202841539821,n057zsv1,0.5474071112465541,0.308754685863469
zero,1,in_context,1,0.5420055536429185,tjpbbehd,0.5508053384449051,0.3105599574449655
zero,1,in_context,2,0.5475189664783929,clo329x7,0.5439547032026016,0.3069333944328333
zero,1,in_context,3,0.5480894082526186,uhshawxc,0.5449333921316855,0.3072773492438943
zero,1,in_context,4,0.5447907732221279,vd57ia8k,0.5488696149903206,0.3093832224542805
zero,1,few_shot,0,0.6068045235335199,qr88bnu1,0.6197194404132144,0.3472477354158666
zero,1,few_shot,1,0.6101342677439371,7rabwhhe,0.6022368464862302,0.3381919115409635
zero,1,few_shot,2,0.6084793157064643,l8s5en8e,0.6100849053584154,0.3426711075443477
zero,1,few_shot,3,0.5906865681542618,gbrndcc4,0.6010703043841262,0.3383138206594727
zero,1,few_shot,4,0.6223436358513924,nrwo72lh,0.6026577252516865,0.3381963132568837
zero,2,in_context,0,0.7412615948419773,1f4jsote,0.7526659765867069,0.4196614286234538
zero,2,in_context,1,0.7431682818406576,q9vitb7u,0.7507457923453705,0.417826324725996
zero,2,in_context,2,0.7449788815845461,2u3l7qxo,0.7453697364739471,0.4146203304593229
zero,2,in_context,3,0.7538222945745205,a21llsbz,0.7447446432342382,0.415022543773778
zero,2,in_context,4,0.7499964401296932,fsthujzp,0.749786159836473,0.4168653581751568
zero,2,few_shot,0,0.9037741617262172,jrjgxrw8,0.9235488847946136,0.5146493812364858
zero,2,few_shot,1,0.9170565169318042,odf9brot,0.8914777594327109,0.4954835128122137
zero,2,few_shot,2,0.894620381569403,tdsolj7h,0.913891072783473,0.5072620945201669
zero,2,few_shot,3,0.9019759085699552,gnaf3fm9,0.9182713755297988,0.5106763026540233
zero,2,few_shot,4,0.9220238250549322,21gy0l3e,0.8915895548504249,0.494990962311177
