fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
zero,1,in_context,0,0.5649724659799749,loc7hr60,0.5667991848932975,0.3211700846354167,194.0,0.0,3.7275559646016336e-05,20.0,0.0105756957788887,0.0,100.0,8.0,255.0,-1.0
zero,1,in_context,1,0.5633551776849226,nuood5v9,0.5727485877211066,0.3235343098958333,198.0,0.0,1.5905817778820346e-05,20.0,0.0138796110793157,1.0,20.0,16.0,255.0,-1.0
zero,1,in_context,2,0.5656951884867254,txz24pj1,0.5640156482167248,0.3193039713541666,279.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
zero,1,in_context,3,0.5652868094390996,nenu0bna,0.5647946525747402,0.3194025390625,298.0,0.0,1.5905817778820346e-05,20.0,0.0138796110793157,1.0,20.0,16.0,255.0,-1.0
zero,1,in_context,4,0.5646300623559608,k1gjq22y,0.5693964414918233,0.3263146809895833,127.0,0.0,0.0003583387974072,20.0,0.0166876416291958,0.0,10.0,8.0,255.0,-1.0
zero,1,few_shot,0,0.6772435040175161,3vcjui3d,0.6988210125653626,0.3947782592773437,137.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
zero,1,few_shot,1,0.667845112130178,s5zj5t1f,0.6498887533102979,0.3672364501953125,257.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
zero,1,few_shot,2,0.6661525687933875,8y9rg6d1,0.6726551664457111,0.3784264526367187,273.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
zero,1,few_shot,3,0.6604561818869359,vwekubyr,0.6619550440656936,0.3743002319335937,309.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
zero,1,few_shot,4,0.6736337503883945,8s3pi0cs,0.6791880774653482,0.3818715515136718,217.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
zero,2,in_context,0,0.8256817642854454,l7uz4sjc,0.8432313022649771,0.4911464192708333,193.0,0.0,0.0003583387974072,20.0,0.0166876416291958,0.0,10.0,8.0,255.0,-1.0
zero,2,in_context,1,0.8293719122773003,tcujzqpp,0.8353934994992477,0.4801221354166666,208.0,0.0,0.0001380773171791,20.0,0.0190619809185539,1.0,10.0,16.0,255.0,-1.0
zero,2,in_context,2,0.8341651823530802,zhhjt98e,0.8367582492420576,0.4839524088541667,165.0,0.0,0.0003583387974072,20.0,0.0166876416291958,0.0,10.0,8.0,255.0,-1.0
zero,2,in_context,3,0.8318403660042314,1x1ufay3,0.8284124575071184,0.4759205729166667,224.0,0.0,0.0001380773171791,20.0,0.0190619809185539,1.0,10.0,16.0,255.0,-1.0
zero,2,in_context,4,0.8346489202362384,y8vdctyf,0.8356329581182247,0.4822504231770834,137.0,0.0,0.0003583387974072,20.0,0.0166876416291958,0.0,10.0,8.0,255.0,-1.0
zero,2,few_shot,0,1.0106533801125943,fqrcmgur,1.0229972351259848,0.5784201049804687,156.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
zero,2,few_shot,1,1.019301292687829,rfzoztq1,0.989846798912627,0.5574497680664062,113.0,0.0,1.5905817778820346e-05,20.0,0.0138796110793157,1.0,20.0,16.0,255.0,-1.0
zero,2,few_shot,2,0.9894645847417346,8qhyipsx,1.023936911779234,0.5769114990234375,55.0,0.0,3.7275559646016336e-05,20.0,0.0105756957788887,0.0,100.0,8.0,255.0,-1.0
zero,2,few_shot,3,1.000181771716339,h70uinkq,1.0176497432937643,0.57574951171875,110.0,0.0,3.7275559646016336e-05,20.0,0.0105756957788887,0.0,100.0,8.0,255.0,-1.0
zero,2,few_shot,4,1.0081028801315466,vj43zvva,0.9980875500566322,0.5613246459960938,97.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
