fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
zero,1,in_context,0,0.7352602759575629,vttnnyvq,0.7279127775459542,0.393912742253157
zero,1,in_context,1,0.9462971536163286,3vgs5822,0.9507672503242658,0.5198849568778166
zero,1,in_context,2,0.7161838064180162,zzrg04u1,0.7270723833265461,0.3929153354674978
zero,1,in_context,3,0.7308385172657532,wswpa3ze,0.7334606560855386,0.3977198062803714
zero,1,in_context,4,0.7516716489867314,0os3jnqh,0.7428410959737235,0.4052190593657859
zero,1,few_shot,0,0.7768294904902031,qgdu8ri4,0.7367127251038731,0.4060507647559314
zero,1,few_shot,1,0.9852771126850208,czd16uhn,1.0425829488560838,0.574847024408086
zero,1,few_shot,2,0.8464043209541564,66davi9k,0.8605883001895385,0.4681232408715425
zero,1,few_shot,3,0.8707781303550756,53hvvioz,0.8423976205648537,0.4584580566284093
zero,1,few_shot,4,0.8571773323611873,mhthm0b4,0.8516046456159054,0.4617122726820581
zero,2,in_context,0,1.107421363822644,j70dwx4g,1.120874564648832,0.6326174145648142
zero,2,in_context,1,1.1065733121797006,5mg497ii,1.1111554461438513,0.6262242655178413
zero,2,in_context,2,1.068998056093846,b6lruxnb,1.0646339567694152,0.5964781416374662
zero,2,in_context,3,1.12277275724868,ph38v381,1.1206157580603513,0.6324589872531026
zero,2,in_context,4,1.0970638865020386,90noclt4,1.099239544530363,0.6195900422788689
zero,2,few_shot,0,1.1391884772838474,0idu0riz,1.142547641681573,0.647387127613917
zero,2,few_shot,1,1.148718111578834,ubqklewl,1.1195222916759715,0.6349646108477759
zero,2,few_shot,2,1.120872379464803,8aal52lu,1.1547230152431094,0.6508425902202135
zero,2,few_shot,3,1.128898572239969,a0nmvqha,1.1302563380484467,0.6399159488607415
zero,2,few_shot,4,1.1303973059265264,iqwf87w3,1.1180470603286874,0.6308418006222667
