fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
zero,1,in_context,0,0.5740166725630229,947hdhax,0.572130495971348,0.3314047833881605
zero,1,in_context,1,0.5712887228015282,ny0vud4a,0.5773334952186772,0.3341036585153739
zero,1,in_context,2,0.5721064283402785,le9asqtu,0.5706765853405913,0.3301148448135034
zero,1,in_context,3,0.5764011518282282,37vpyzn7,0.57292172012323,0.3304200033847055
zero,1,in_context,4,0.5753112603777841,lmmfqxvs,0.5778793311244265,0.3354735517222438
zero,1,few_shot,0,0.6664691590219247,rlutc2g0,0.6921104598507001,0.4076495850696394
zero,1,few_shot,1,0.6779293410367768,bjukzq53,0.6549740213278817,0.3932405471926528
zero,1,few_shot,2,0.6713735396707771,0pgevn7b,0.6845809100769816,0.4078663619185385
zero,1,few_shot,3,0.6524905726594536,5fxevf22,0.6661334769012385,0.398302904720614
zero,1,few_shot,4,0.6988729691553343,q2jpizv8,0.678174246441891,0.402291538324257
zero,2,in_context,0,0.8743000186112759,396kfqpw,0.8826349554811714,0.502692921459083
zero,2,in_context,1,0.8629828697337342,r4mkhu4v,0.8719088503742953,0.4955590350197711
zero,2,in_context,2,0.8744840353119891,p4qjp3f6,0.8732890428573896,0.4979494558947143
zero,2,in_context,3,0.8818173789457718,013m0ess,0.8710186209864467,0.4965580815113803
zero,2,in_context,4,0.8702062163120942,ra1gnlvm,0.8681348131660176,0.4945483065863152
zero,2,few_shot,0,1.0200419022625482,wz3g5iyw,1.0299464085567247,0.6026070709732918
zero,2,few_shot,1,1.0392752665814886,c62lrkgl,0.996932743777841,0.5772710045249041
zero,2,few_shot,2,1.011272047664309,95lhm169,1.0213093837353815,0.5876013185676565
zero,2,few_shot,3,1.033285659044426,ivmqe368,1.0298901928538302,0.5960307822535902
zero,2,few_shot,4,1.025476844505332,evdkofi4,1.003697361442269,0.5812980137266002
