fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
steps,1,in_context,0,0.5743190916521295,28uleq2p,0.5785679422335261,0.3265641927083333,2029.0,0.146398788362281,0.0001575132049977
steps,1,in_context,1,0.5733384234225705,jp58xeir,0.5794074501642791,0.3275087890625,1199.0,0.1878997883128378,0.000616104953938
steps,1,in_context,2,0.5749262634213258,p89yedfx,0.5716790563365893,0.3233287109375,1745.0,0.1202230023486417,0.000260702475837
steps,1,in_context,3,0.575293885638474,8num4i0g,0.576789897450119,0.3254109375,2300.0,0.1368466053024314,7.591104805282687e-05
steps,1,in_context,4,0.570287089914141,imzqbzp7,0.5759791681738833,0.3255044270833333,2249.0,0.0584289297070436,5.4041038546473305e-05
steps,1,few_shot,0,0.6478079214003566,r9qp23e9,0.6873330056817623,0.3871368408203125,1318.0,0.0749080237694725,0.0007969454818643
steps,1,few_shot,1,0.6464022300750203,i4uts58k,0.6367832021920948,0.3589873657226562,1643.0,0.119579995762217,0.0006978281265126
steps,1,few_shot,2,0.648246224506602,ybjz69yv,0.6649464996759629,0.3725877075195312,1663.0,0.1878997883128378,0.000616104953938
steps,1,few_shot,3,0.6316952027148851,ubl4nglj,0.6478413354746125,0.3652998962402344,1477.0,0.1878997883128378,0.000616104953938
steps,1,few_shot,4,0.6478477296505576,apc98jaj,0.6549708962845934,0.36723876953125,1509.0,0.0130103185970559,0.0007902619549708
steps,2,in_context,0,0.8583089558118521,ke6ai0vp,0.8721157354306669,0.4908805013020833,1814.0,0.1939169255529117,0.0003550304858128
steps,2,in_context,1,0.8569904210072719,zvvgdr4c,0.8597411727835252,0.48332373046875,2447.0,0.1939169255529117,0.0003550304858128
steps,2,in_context,2,0.8617968011561337,iaox5u72,0.8672346184446612,0.48636494140625,1698.0,0.1939169255529117,0.0003550304858128
steps,2,in_context,3,0.867805396514348,d4oycly6,0.8649230850980195,0.4849680989583333,1801.0,0.1931264066149118,0.0004138040112561
steps,2,in_context,4,0.8539373597061439,gffm3sqd,0.8651320526783568,0.4844610677083333,1690.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,0,0.9687606850923712,wljigbga,0.9872525789808594,0.5566510009765625,1778.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,1,0.9702705053379804,3k91rjsl,0.958848136764016,0.5386722412109375,1572.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,2,0.9463886537755593,ml593n12,0.9798395409109448,0.551809814453125,1926.0,0.119579995762217,0.0006978281265126
steps,2,few_shot,3,0.9493671011017302,l0nbxl3o,0.9777357445103724,0.5496719970703124,1759.0,0.1878997883128378,0.000616104953938
steps,2,few_shot,4,0.9723873651046222,w8kocui3,0.9563879974070832,0.536064453125,1824.0,0.1878997883128378,0.000616104953938
