fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
steps,1,in_context,0,0.5699886065033141,fsjenrlu,0.5717666753682712,0.3232053059895833,160.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,1,in_context,1,0.5720349383484027,fv6zx5ck,0.5792040001375377,0.3271880859375,143.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,1,in_context,2,0.5734639458721227,esw5walm,0.5741452881670447,0.3240477864583333,70.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0
steps,1,in_context,3,0.5745906174120698,g4kf2cdk,0.577209249907882,0.3254028971354166,181.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
steps,1,in_context,4,0.5722296871718935,t9vbipfa,0.5754039294366576,0.3251392252604166,295.0,0.2,7.309539835912905e-05,10.0,0.0383962929980417,1.0,10.0,8.0,255.0,-1.0
steps,1,few_shot,0,0.6484083686910884,b6x1xlnk,0.6803920923682494,0.3825673217773437,157.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,1,few_shot,1,0.6439433867535025,9anfq6oa,0.6542488769422901,0.367893798828125,204.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,1,few_shot,2,0.6473483201023972,dqly58qb,0.6641541912965834,0.3731603393554688,108.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,1,few_shot,3,0.6376528599874582,37xlizqj,0.634397600068648,0.3573235473632812,177.0,0.0,0.0001656260589333,5.0,0.655438234354628,0.0,20.0,4.0,255.0,-1.0
steps,1,few_shot,4,0.6453357783398546,49s8fiy7,0.6629054866950443,0.37244970703125,175.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,2,in_context,0,0.8529174481197973,5aln663p,0.8654121654088066,0.4877899739583333,131.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,2,in_context,1,0.8541224037589153,d5dbg8gp,0.8586402694535724,0.48298388671875,275.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,2,0.8556777292686772,h1kkqkmi,0.863027598229662,0.4859924479166667,203.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,2,in_context,3,0.858700842729487,9r2kvrah,0.8535760771803023,0.47898212890625,222.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,4,0.848081705326782,jnq7qiwf,0.8608816803267475,0.48328134765625,215.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
steps,2,few_shot,0,0.9681974699986594,5vlou609,0.9892527837641673,0.5568369140625,172.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
steps,2,few_shot,1,0.9713202706945412,l6l8oo56,0.9652026537812765,0.5414739990234375,108.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,2,few_shot,2,0.9392263104454996,2g0dwkwp,0.9802445640561696,0.5516536254882812,129.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,2,few_shot,3,0.9517356540856872,26o1jnk4,0.9706651965766524,0.54490771484375,149.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,2,few_shot,4,0.9756901098559498,ysml29fg,0.9579004857961017,0.5367984619140626,136.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
