model_name,fixed_effect_type,feature_dimension,task_name,test_rmse_mean,test_rmse_std,test_rmse_n,test_crps_mean,test_crps_std,test_crps_n,test_rmse_se,test_crps_se
npboost,steps,1,in_context,0.5761661632886902,0.002912916896254449,5,0.32541154296874997,0.0018078800004692102,5,0.00130269603856653,0.0008085085152423011
npboost,steps,1,few_shot,0.6875922624239736,0.022609518394110004,5,0.38729008178710933,0.012313739969755157,5,0.01011128401355237,0.005506871925925747
npboost,steps,2,in_context,0.8620725537078892,0.0073326477466409455,5,0.48805885416666667,0.00462854375004457,5,0.0032792597633099618,0.0020699476923862906
npboost,steps,2,few_shot,1.0154504987220787,0.01341993559458061,5,0.5721476440429687,0.009073916487066663,5,0.00600157764863026,0.0040579788174474295
anpboost,steps,1,in_context,0.5755458286034786,0.002846613666769393,5,0.32499666015624995,0.001508062605789946,5,0.0012730443329152595,0.0006744261001743574
anpboost,steps,1,few_shot,0.659219649474163,0.01678578381676629,5,0.37067894287109376,0.009175376065212758,5,0.007506830733981059,0.004103352920188054
anpboost,steps,2,in_context,0.8603075581198182,0.0045243214192323584,5,0.48380595703124996,0.0033493829895172083,5,0.0020233380490923755,0.0014978896094483885
anpboost,steps,2,few_shot,0.9726531367948734,0.012351926593728345,5,0.5463341430664063,0.00798733379271495,5,0.005523949503332801,0.0035720442638983683
np,steps,1,in_context,0.5961719153578788,0.0022436120351516627,5,0.33501110677083334,0.0016663349473811395,5,0.001003373805147153,0.0007452076431255526
np,steps,1,few_shot,0.7004349179370951,0.01849441223245349,5,0.39313124389648435,0.00982793515883222,5,0.008270952591133928,0.004395186218721807
np,steps,2,in_context,0.9060057091946796,0.005035585725520537,5,0.5189594205729167,0.008907941404701152,5,0.0022519823977583038,0.0039837525040993475
np,steps,2,few_shot,1.0308549170669592,0.016938467714554026,5,0.5819504638671875,0.010984049229637432,5,0.007575113048885661,0.004912216149134699
anp,steps,1,in_context,0.5764847028716794,0.003013523090037411,5,0.32566341145833333,0.001561783516962384,5,0.001347688496217774,0.0006984508220133173
anp,steps,1,few_shot,0.6583749878618053,0.019173565422682393,5,0.37025011596679686,0.010618948115324064,5,0.008574679131231463,0.004748937967081576
anp,steps,2,in_context,0.865829332887046,0.0044684131028121165,5,0.48599966796875,0.002938878425540642,5,0.0019983350898877296,0.0013143063874232858
anp,steps,2,few_shot,0.9720127997146552,0.013635465198571206,5,0.5465739013671875,0.00882391147602022,5,0.006097965417767577,0.003946173177564343
gbm_group_cat,steps,1,in_context,0.5936679795731289,0.003547984864531228,5,,,0,0.0015867070680464417,
gbm_group_cat,steps,1,few_shot,1.1176971741744481,0.041475887515098044,5,,,0,0.01854858078217881,
gbm_group_cat,steps,2,in_context,0.9337565301462121,0.00847784095999283,5,,,0,0.0037914057377952085,
gbm_group_cat,steps,2,few_shot,1.118133940375412,0.02023015956527318,5,,,0,0.009047202396723684,
gbm_no_group,steps,1,in_context,1.1154437776858697,0.009160302877013264,5,,,0,0.004096611985497711,
gbm_no_group,steps,1,few_shot,1.1149818074802968,0.0423871565307139,5,,,0,0.018956112675120085,
gbm_no_group,steps,2,in_context,1.1214609876894996,0.005834501963717808,5,,,0,0.002609268601145806,
gbm_no_group,steps,2,few_shot,1.1183060527230755,0.01919173652843176,5,,,0,0.008582805496767848,
gplinear,steps,1,in_context,0.6848271290796509,0.0047298601548474515,5,0.3790857718243334,0.0018271295524726638,5,0.0021152577660613165,0.000817117176605529
gplinear,steps,1,few_shot,0.8359916028737441,0.01146454996916245,5,0.4552119817067036,0.005839986578541384,5,0.00512710261249807,0.00261172139546099
gplinear,steps,2,in_context,0.9534757297494462,0.005672504668522524,5,0.526523567074693,0.0026686146486396135,5,0.002536821208300255,0.0011934407520219784
gplinear,steps,2,few_shot,1.1817298360844941,0.005126699393046349,5,0.6529071202406553,0.0029166451534662417,5,0.0022927296686117097,0.0013043633658791644
lme,steps,1,in_context,1.2736975965590207,0.0212654099424816,5,0.7249051689598418,0.012292444755431406,5,0.009510180440157749,0.00549734841656108
lme,steps,1,few_shot,1.299783437286575,0.036894361802294565,5,0.7405134285203255,0.020247481500563956,5,0.01649966019528046,0.00905494900168609
lme,steps,2,in_context,1.4516994352254453,0.004946123629578465,5,0.824376987783135,0.002952998382927432,5,0.0022119737321710875,0.0013206210243345384
lme,steps,2,few_shot,1.4560596602164861,0.007611216520814902,5,0.8264686866608109,0.004370164469315965,5,0.0034038395064023125,0.001954396965248958
tabicl_taskwise,steps,1,in_context,0.7025734060875601,0.006663057624209846,5,0.3914017931980437,0.00259735555470398,5,0.0029798099571462927,0.0011615727164109547
tabicl_taskwise,steps,1,few_shot,0.9122230209796841,0.01581586278208626,5,0.5084793212410531,0.007262620188396228,5,0.007073068860710764,0.003247942487203259
tabicl_taskwise,steps,2,in_context,1.0906676940635518,0.01192954482992398,5,0.6096040871683867,0.006302546822923919,5,0.005335054636068238,0.0028185846254866424
tabicl_taskwise,steps,2,few_shot,1.3689818917384549,0.006786521446163017,5,0.7846541285568206,0.004649592907991097,5,0.003035024656876137,0.002079361161993804
tabicl_pooled,steps,1,in_context,1.1038474074376687,0.009739474952785144,5,0.6214477816570175,0.006217897076494928,5,0.004355625611916827,0.0027807281080279734
tabicl_pooled,steps,1,few_shot,1.136625780690885,0.045205890697249985,5,0.641236160742516,0.025274502201575698,5,0.020216688916495265,0.01130310100403827
tabicl_pooled,steps,2,in_context,1.1252192528223675,0.006122723550401083,5,0.6343872643233773,0.003978313735479883,5,0.0027381652132271363,0.0017791559896708272
tabicl_pooled,steps,2,few_shot,1.1270355555975766,0.01694292484255796,5,0.6354594007144344,0.009702852022415045,5,0.007577106337125903,0.004339247339548271
