fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
steps,1,in_context,0,0.5867940342016045,8b5cbr7g,0.5898259018958087,,500.0,0.1254449923662644,0.0,20.0,32.0,255.0,-1.0
steps,1,in_context,1,0.5914443985154358,qgbv5ewi,0.5930398339620032,,500.0,0.1254449923662644,0.0,20.0,32.0,255.0,-1.0
steps,1,in_context,2,0.5926304370414984,ifk6i7ap,0.5912455038732572,,460.0,0.1254449923662644,0.0,20.0,32.0,255.0,-1.0
steps,1,in_context,3,0.5976410008958359,dkvu2u9w,0.5954449548701423,,500.0,0.1254449923662644,0.0,20.0,32.0,255.0,-1.0
steps,1,in_context,4,0.5955724539957875,hiv1kfg0,0.598783703264433,,500.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,1,few_shot,0,1.1670757662344284,7cdvxvvs,1.11219463134588,,6.0,0.6321732490144019,0.0,100.0,32.0,1000.0,-1.0
steps,1,few_shot,1,1.1052967883634657,f8z2cljl,1.07662145744479,,262.0,0.0102358324351751,1.0,1000.0,32.0,255.0,-1.0
steps,1,few_shot,2,1.092128615623731,io9c25ip,1.166099628545117,,11.0,0.7452629792912638,0.0,100.0,4.0,1000.0,-1.0
steps,1,few_shot,3,1.1302166246834435,dier6za5,1.0792414816702385,,13.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,1,few_shot,4,1.107601884408325,hgy5fx68,1.154328671866215,,145.0,0.0364643955898072,0.0,100.0,8.0,500.0,-1.0
steps,2,in_context,0,0.9338129798329012,m2t0nxcx,0.9471935337688554,,497.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,1,0.9226899387588318,6hcq307b,0.9277425676295268,,500.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,2,0.9324549632608764,13qdm6a5,0.9329774864956047,,499.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,3,0.9385745489143634,rvzzwdcv,0.9353384114008464,,500.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,4,0.9256132687597428,k03b8n2j,0.9255306514362268,,500.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,few_shot,0,1.1358748799784977,vqm6xnyf,1.1316905180266577,,100.0,0.0385852699847799,1.0,20.0,32.0,1000.0,-1.0
steps,2,few_shot,1,1.1213293389618246,raavfpy9,1.0924535602405945,,139.0,0.0385852699847799,1.0,20.0,32.0,1000.0,-1.0
steps,2,few_shot,2,1.1075087241935375,y7fwxxt8,1.1442642757314276,,69.0,0.0339160084943861,1.0,20.0,32.0,500.0,-1.0
steps,2,few_shot,3,1.1195242659637652,7ojgu7nz,1.113669255756998,,14.0,0.2076764556616242,0.0,1000.0,64.0,500.0,-1.0
steps,2,few_shot,4,1.112373886249134,s8409ym6,1.1085920921213823,,73.0,0.0385852699847799,1.0,20.0,32.0,1000.0,-1.0
