fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,1,in_context,0,1.270627255170223,z83exw6w,1.2702142991729328,0.722861241995341
steps,1,in_context,1,1.239329834291628,giar2wej,1.2396338189023617,0.7053049045299151
steps,1,in_context,2,1.2901104756818416,nkwek7dm,1.279969278906706,0.7276965204702364
steps,1,in_context,3,1.2722128859948096,5zmpkvo8,1.2966833279357115,0.7382407038912767
steps,1,in_context,4,1.2785839689369245,li3p3pun,1.281987257877392,0.7304224739124398
steps,1,few_shot,0,1.358533476501596,qw3ldtb2,1.3532486959140702,0.7710205170814843
steps,1,few_shot,1,1.2655703897058928,tvksww4k,1.2546826818043904,0.7158073294991966
steps,1,few_shot,2,1.2866465887110048,4dv0p13u,1.3091106115598397,0.7421310450894769
steps,1,few_shot,3,1.2743768103414286,xl8q2kt8,1.2785144387304457,0.7309460666799205
steps,1,few_shot,4,1.2934890042430842,0mixa0pf,1.30336075842413,0.7426621842515493
steps,2,in_context,0,1.4320965641636278,nhp3c941,1.458748963561051,0.8280654941298544
steps,2,in_context,1,1.4578862446152077,63eifek5,1.4459992404474304,0.8212861257869009
steps,2,in_context,2,1.4392170773760475,p7hztw6v,1.4491262909424745,0.8227150112355442
steps,2,in_context,3,1.4565177114495185,rt4r9iil,1.450274362712984,0.8228605295516681
steps,2,in_context,4,1.4293679511753548,wmxd4hvm,1.4543483184632873,0.826957778211707
steps,2,few_shot,0,1.4699190052917237,1v5wlirw,1.4660542231753158,0.8329396447430842
steps,2,few_shot,1,1.474910702693217,gb81optf,1.4526629908842903,0.8240096418639797
steps,2,few_shot,2,1.440755872217016,ldd22wt2,1.4620705024552023,0.8290050247507337
steps,2,few_shot,3,1.4867784231932022,kbv07x0y,1.451283932518922,0.8237424392425683
steps,2,few_shot,4,1.43951937576978,mki1mceq,1.4482266520487002,0.8226466827036885
