fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
steps,1,in_context,0,0.5714487219570732,5tb0ayz3,0.5742677833770085,0.3243292643229166,141.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,1,in_context,1,0.5703447298249046,zg6z86zk,0.5755459588202215,0.3257219401041666,171.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0
steps,1,in_context,2,0.5722906627438957,wreit6yl,0.5744494612663226,0.3240940755208333,247.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,1,in_context,3,0.5764022094463414,o0txu5cv,0.5752808122994058,0.3244703125,225.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,1,in_context,4,0.5777731479046005,mf71po0t,0.5812868006804925,0.3284421223958333,228.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,1,few_shot,0,0.6794184222241111,zb77aszu,0.7155311998008321,0.4024275512695312,139.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,1,few_shot,1,0.6667187793543193,yja0o7t0,0.665355660781799,0.3744757690429687,188.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,1,few_shot,2,0.6818869179830551,62ca48f7,0.7007922215817746,0.3950253295898437,195.0,0.2,6.83631406502272e-05,20.0,0.768810680147495,1.0,100.0,8.0,255.0,-1.0
steps,1,few_shot,3,0.6652106492628632,tqwgvrt1,0.6637046452596048,0.3750934753417969,148.0,0.0,1.5905817778820346e-05,20.0,0.0138796110793157,1.0,20.0,16.0,255.0,-1.0
steps,1,few_shot,4,0.6693012640428555,z8kh99ky,0.6925775846958578,0.3894282836914062,137.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,2,in_context,0,0.8565556177175612,askt69u1,0.8734434244332203,0.4956520182291666,193.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,in_context,1,0.8584577695706245,7znt4n4q,0.8630275518655683,0.4885613932291666,372.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,2,0.85443131405629,vd0f2fgn,0.8535939339170857,0.4833747395833333,437.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,3,0.8604289606108362,yx1pyire,0.8584794212962513,0.4864639322916667,218.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,in_context,4,0.8550749334305962,4hsh0j4c,0.8618184370273203,0.4862421875,192.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,few_shot,0,1.0174508168886518,zva8hj5e,1.0390904300279693,0.5880272216796875,99.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,few_shot,1,1.025924974599755,5e9jljtv,1.0086309146094938,0.567584716796875,168.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,few_shot,2,0.999375505146168,t6jtg8mj,1.0121239424289423,0.5694476318359375,172.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,few_shot,3,1.0058251915469387,fbbl07mh,1.0112451021048456,0.5702836303710938,60.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,few_shot,4,1.0191050179978631,lrd5xj29,1.006162104439143,0.56539501953125,134.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
