fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,1,in_context,0,1.1087554388276422,4ln2f4u0,1.1064525747935126,0.622720128326645
steps,1,in_context,1,1.09337870052757,7l94alds,1.1031419500497253,0.6226488284677063
steps,1,in_context,2,1.1025991596316664,829g1hnl,1.105285252718564,0.6205319854927882
steps,1,in_context,3,1.114160939791626,4f7xzhcv,1.1156787758453397,0.6293158280713808
steps,1,in_context,4,1.1052116575767286,h8ojcmre,1.0886784837812016,0.6120221379265677
steps,1,few_shot,0,1.195655132320817,gdy3ewxw,1.1431231667364383,0.6473270913365589
steps,1,few_shot,1,1.1180906119000789,rb76tslv,1.0796098750156615,0.6093412086423229
steps,1,few_shot,2,1.124849082501402,kkiiyj01,1.185583222832486,0.6691737251306554
steps,1,few_shot,3,1.1493431433906065,kehlfzr7,1.1021698960421729,0.6212216858177391
steps,1,few_shot,4,1.1237605998985396,duxtoc6x,1.1726427428276665,0.6591170927853038
steps,2,in_context,0,1.1189273078629014,dg2pm0m2,1.1336296688937737,0.6399565298997764
steps,2,in_context,1,1.1200272897516106,je82sfup,1.1275393211240543,0.6353606592178529
steps,2,in_context,2,1.119614409613483,xi0725y1,1.1213449338391943,0.6314114959703463
steps,2,in_context,3,1.1299405372856373,68i9zyty,1.1259935093432218,0.6354434614682318
steps,2,in_context,4,1.1139378902782129,ld2fgjft,1.1175888309115936,0.629764175060679
steps,2,few_shot,0,1.1425771052117784,mcwd9su1,1.1373188392547666,0.6423493759855999
steps,2,few_shot,1,1.129450355599362,yy2b11ca,1.1075962120987397,0.6238170524972894
steps,2,few_shot,2,1.1141297028372086,kvum3ytg,1.150678645479235,0.6479281183056185
steps,2,few_shot,3,1.1261490155358154,6wvhca4e,1.1203768873951194,0.6336414995157899
steps,2,few_shot,4,1.1185961783647766,iicd07et,1.1192071937600223,0.6295609572678745
