fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
steps,2,in_context,0,0.885386119027697,zwi1awyz,0.8867476420931422,0.499244921875,1175.0,0.1878997883128378,0.000616104953938
steps,2,in_context,1,0.8828217671218362,h324ddsy,0.8945963017481134,0.50493193359375,1496.0,0.1202230023486417,0.000260702475837
steps,2,in_context,2,0.8796826796697867,gwlg4zd8,0.8967396872409485,0.5034689453125,1728.0,0.1878997883128378,0.000616104953938
steps,2,in_context,3,0.8904402744128848,7isko1ad,0.8987881312695652,0.503983203125,1269.0,0.1878997883128378,0.000616104953938
steps,2,in_context,4,0.8905589699539533,jhvgm3pv,0.8818643257015357,0.49589033203125,1592.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,0,0.9693106728296152,5620fgpz,0.9673454044746947,0.5461236572265625,2024.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,1,0.9652445070503304,gjp37skr,0.9693710038126316,0.5448018188476562,1283.0,0.1878997883128378,0.000616104953938
steps,2,few_shot,2,0.9620305039232476,ifububjr,0.9868565984022896,0.5567978515625,1561.0,0.0749080237694725,0.0007969454818643
steps,2,few_shot,3,0.9617954005245294,mf0b12g9,0.9572888991242016,0.53614697265625,1726.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,4,0.9765678964008866,44un7h1i,0.9590248785260088,0.5373013916015625,1850.0,0.1939169255529117,0.0003550304858128
