fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
steps,2,in_context,0,0.8895593052589555,z4xdblaf,0.8881087570145023,0.5010624348958334,146.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,2,in_context,1,0.8776387048948483,vcwre8z1,0.8807005519370535,0.4978419921875,111.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,2,in_context,2,0.8766382031564968,xmfwlor5,0.8886460461620428,0.4986118815104167,66.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,2,in_context,3,0.8850071569885956,miat0ed8,0.8879392366689636,0.4995670572916666,112.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,2,in_context,4,0.8872635268061148,uo4rxwt2,0.8770052659565126,0.4937297200520833,229.0,0.2,0.0008536189862866,5.0,0.2335963502626159,0.0,100.0,4.0,255.0,-1.0
steps,2,few_shot,0,0.9714684707609318,q5slrawc,0.9613910879536944,0.5428734130859375,128.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,2,few_shot,1,0.964327394721245,4gc097yo,0.9577929533389108,0.5392218017578125,252.0,0.2,0.0002091196066971,10.0,0.1284423092280945,0.0,100.0,4.0,255.0,-1.0
steps,2,few_shot,2,0.9618460953166296,vsmjr6yg,0.979117590061336,0.5517764892578125,80.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,2,few_shot,3,0.9591917340291036,lsaigjul,0.9606878038885508,0.5373045654296875,108.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,2,few_shot,4,0.974926309708948,6nc0ra1b,0.9558539378599968,0.5356283569335938,131.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
