model_name,fixed_effect_type,feature_dimension,task_name,test_rmse_mean,test_rmse_std,test_rmse_n,test_crps_mean,test_crps_std,test_crps_n,test_rmse_se,test_crps_se
npboost,steps,2,in_context,0.916757905895933,0.0073979121314632764,5,0.5179070572916668,0.004160532214821041,5,0.0033084468835044493,0.001860646570983521
npboost,steps,2,few_shot,1.0235157657032612,0.013373430639932135,5,0.5775686279296874,0.0077825643835656,5,0.005980780000653353,0.0034804686001842855
anpboost,steps,2,in_context,0.884479971547815,0.005306741304788782,5,0.4981626171875,0.002753934030773578,5,0.002373246859302729,0.0012315967396719437
anpboost,steps,2,few_shot,0.9629686746204978,0.009299007888726167,5,0.5413609252929688,0.0064160703873873785,5,0.004158642752499702,0.0028693539069243176
np,steps,2,in_context,0.9505012943622088,0.01073631659575787,5,0.5368470182291667,0.005682239121811551,5,0.004801426747214745,0.002541174588155867
np,steps,2,few_shot,1.0323460825773765,0.011408826307441739,5,0.5826794799804688,0.0067977738858380045,5,0.005102182233385528,0.0030400569008813346
anp,steps,2,in_context,0.891747217610661,0.007163864292869422,5,0.5015038671875,0.003820173061829564,5,0.003203777508087898,0.0017084333304128825
anp,steps,2,few_shot,0.9679773568679654,0.011759648952546511,5,0.5442343383789062,0.008294646747365625,5,0.005259074889885639,0.003709478795291412
gbm_group_cat,steps,2,in_context,0.9828885966911429,0.009179906256782545,5,,,0,0.004105378883448281,
gbm_group_cat,steps,2,few_shot,1.1141913669261378,0.019433167527505874,5,,,0,0.008690776721928929,
gbm_no_group,steps,2,in_context,1.1214956945143817,0.009034878489008639,5,,,0,0.00404052049397478,
gbm_no_group,steps,2,few_shot,1.1145587970197273,0.01822301829424341,5,,,0,0.008149581532230107,
gplinear,steps,2,in_context,1.3180412905353334,0.0047203916646365775,5,0.7416793961530039,0.002432989470577269,5,0.0021110233285101553,0.0010880659689503996
gplinear,steps,2,few_shot,1.4033458411628066,0.010173958711657756,5,0.7925381067189462,0.00605547419285929,5,0.004549932655908585,0.0027080903862458086
lme,steps,2,in_context,1.4432855154460862,0.008136862025039675,5,0.8201270876701624,0.004488490560314317,5,0.003638915322305062,0.0020073140018457866
lme,steps,2,few_shot,1.4581750549458046,0.014109287897677477,5,0.8285383205530277,0.008530417354221817,5,0.006309865370664387,0.003814918616096777
tabicl_taskwise,steps,2,in_context,1.2592240103303538,0.0064424580836275926,5,0.7079384369805448,0.0032859291417307993,5,0.002881154843436864,0.0014695121860315216
tabicl_taskwise,steps,2,few_shot,1.5175581643082747,0.008400774268949394,5,0.889478869906856,0.00793900128979306,5,0.003756940465800389,0.003550429311487158
tabicl_pooled,steps,2,in_context,1.1243181132623674,0.009881119200237602,5,0.6342149744269451,0.0061073544553015375,5,0.004418970845101926,0.0027312919449480875
tabicl_pooled,steps,2,few_shot,1.1199580462265815,0.01784231172071991,5,0.6309042802411007,0.010113761842145658,5,0.007979324376654192,0.004523011797456238
