fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
steps,2,in_context,0,0.986889984844789,lip3a35p,0.9851875697854244,,500.0,0.0160785817337106,0.0,100.0,64.0,500.0,-1.0
steps,2,in_context,1,0.9776462542374914,7t2upkpb,0.9775450572847056,,500.0,0.056115164153345,0.0,10.0,32.0,255.0,-1.0
steps,2,in_context,2,0.97129099534108,unjxvcpx,0.987580517192114,,174.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,3,0.9865030024318716,kgkijop9,0.9938943958944784,,274.0,0.1254449923662644,0.0,20.0,32.0,255.0,-1.0
steps,2,in_context,4,0.9782420974705508,nzbinj96,0.9702354432989916,,499.0,0.1254449923662644,0.0,20.0,32.0,255.0,-1.0
steps,2,few_shot,0,1.1345397729214413,wx5mir5j,1.115555798384303,,71.0,0.0385852699847799,1.0,20.0,32.0,1000.0,-1.0
steps,2,few_shot,1,1.1105781888036634,jmw9um6w,1.0962048595057865,,7.0,0.6321732490144019,0.0,100.0,32.0,1000.0,-1.0
steps,2,few_shot,2,1.0982433023706952,4nt0of3u,1.1462963021299526,,3.0,0.6321732490144019,0.0,100.0,32.0,1000.0,-1.0
steps,2,few_shot,3,1.11681912256791,9kgarukr,1.102288834769164,,5.0,0.6321732490144019,0.0,100.0,32.0,1000.0,-1.0
steps,2,few_shot,4,1.113020635306298,8emyc2pe,1.1106110398414832,,2.0,0.8401272991858839,0.0,100.0,32.0,500.0,-1.0
