fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
steps,2,in_context,0,1.1214814402940136,j5v90tn6,1.1269377460011758,,15.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,in_context,1,1.1120073721784296,dk30w5dr,1.120207386871464,,9.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,in_context,2,1.1121268170076606,276nakkz,1.122029034179444,,15.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,in_context,3,1.126863590742318,3iv9mbrg,1.1310679328260405,,13.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,in_context,4,1.118607544740203,95rukmp9,1.1072363726937842,,15.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,few_shot,0,1.1354010971319026,pc1x9tyf,1.1176371976381552,,8.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,few_shot,1,1.1107241931972116,2aefxjln,1.0965214659258404,,87.0,0.040596116104843,0.0,20.0,8.0,500.0,-1.0
steps,2,few_shot,2,1.0971034679159402,mbz1xllz,1.1442628753358448,,3.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,2,few_shot,3,1.1205491181861371,rie6bmql,1.1060794804419118,,11.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,few_shot,4,1.114236694048772,46xw7p6j,1.1082929657568836,,13.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
