fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,2,in_context,0,1.3163313829572123,ngn2s0su,1.3215577364668851,0.7430927349549562
steps,2,in_context,1,1.312994570058039,s67uvez6,1.3197719041429727,0.7426560668382699
steps,2,in_context,2,1.2992668298436196,ejnfmdxc,1.310872857847718,0.7378349540831511
steps,2,in_context,3,1.3171605116757337,p1aaudua,1.322206326484785,0.7439700888531661
steps,2,in_context,4,1.32080203751716,hi0do2yy,1.3157976277343064,0.7408431360354762
steps,2,few_shot,0,1.4052090062113003,e4u66dl0,1.397074738696837,0.789236273255095
steps,2,few_shot,1,1.401448669682163,7blhdnvz,1.394566444574568,0.7878682902518731
steps,2,few_shot,2,1.3920474749736935,7ee209gv,1.4201527709293196,0.8024186756377198
steps,2,few_shot,3,1.3980890924834728,5er7iruu,1.405077012734051,0.7942779145403285
steps,2,few_shot,4,1.408754365189668,dnzrp8bp,1.3998582388792575,0.7888893799097145
