fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,2,in_context,0,1.439440237058673,g8omsuti,1.4502621131767632,0.8238186983900305
steps,2,in_context,1,1.4356009437359207,gjshq3xa,1.4486968008263623,0.8233447708149649
steps,2,in_context,2,1.4226781823318817,qy4sa59q,1.4305317321554671,0.8132848731376792
steps,2,in_context,3,1.4507292737817277,eqcbpfp4,1.4469436086553344,0.8223056246286236
steps,2,in_context,4,1.440333507577702,z320u322,1.4399933224165038,0.8178814713795141
steps,2,few_shot,0,1.4592216989270257,4xlhg9yj,1.4518123714659947,0.8255871594546392
steps,2,few_shot,1,1.4442238272781465,vqn6nd15,1.4497351378074563,0.8229751980825053
steps,2,few_shot,2,1.4467860690639822,22x5pcsg,1.483121606857652,0.8431619696128284
steps,2,few_shot,3,1.4604255077045465,3qllq6fk,1.4554259817223174,0.8285578134957395
steps,2,few_shot,4,1.4654367789644809,sdy50a3z,1.4507801768756017,0.8224094621194257
