fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
steps,2,in_context,0,0.941396269260526,7ujn8n2b,0.9408904653765144,0.5338998697916667,2679.0,0.1931264066149118,0.0004138040112561
steps,2,in_context,1,0.938639113533268,1gtihxrb,0.9482950710650891,0.53744375,2595.0,0.1939169255529117,0.0003550304858128
steps,2,in_context,2,0.9410678243520024,z9x1gccw,0.953243286581164,0.5361462239583333,1997.0,0.1931264066149118,0.0004138040112561
steps,2,in_context,3,0.951891665432834,p116bbmh,0.967591546055958,0.545954296875,1810.0,0.1202230023486417,0.000260702475837
steps,2,in_context,4,0.9480210401938396,tei2d6om,0.9424861027323188,0.5307909505208334,2235.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,0,1.0403309485952543,os32b4ty,1.027846200654566,0.58245849609375,1596.0,0.119579995762217,0.0006978281265126
steps,2,few_shot,1,1.016372865968173,9k06q42s,1.0171384472159708,0.5727133178710937,1447.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,2,1.0140409805648027,y2uqr4di,1.0481295833429376,0.5918687744140625,1584.0,0.1931264066149118,0.0004138040112561
steps,2,few_shot,3,1.0214427971335598,ltpndbxa,1.0367886463201568,0.5836906127929687,2061.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,4,1.0341947537896068,lnxtdr22,1.0318275353532511,0.5826661987304688,1526.0,0.0912139968434072,0.0003718364180573
