fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
steps,2,in_context,0,0.9179516624310954,v0z62nok,0.9228050608487084,0.5216749348958334,156.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,1,0.9088788199540542,4f5k5kix,0.9085792630549928,0.5131381510416667,209.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,in_context,2,0.913130855833065,qh3xtzbp,0.9216380371993808,0.5192984375,232.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,in_context,3,0.9148905288722614,0qdne13t,0.9220117412483566,0.5216034505208333,217.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,4,0.9247058140833568,cixt8g8s,0.908755427128226,0.5138203125,235.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,few_shot,0,1.0393438204056522,h476pdoi,1.0127151808779495,0.5737384033203125,250.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
steps,2,few_shot,1,1.0196946577574972,dqrc8rd3,1.0168427411639698,0.5732842407226563,167.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,few_shot,2,1.006339522561122,vg91fmg1,1.0467058980710138,0.5914475708007813,36.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,few_shot,3,1.0196625823541392,01mpcmx7,1.020444030085086,0.5746239013671876,80.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,2,few_shot,4,1.0303230797945528,zka3bbx6,1.0208709783182874,0.5747490234375,45.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
